beta,gamma,rho
0.23030080161493527,0.08877903931232858,0.4788620035996807
0.19508521366709713,0.12299222106348269,0.3648631017466259
0.201076933920886,0.08402999170297044,0.31716134178106803
0.19422127588733862,0.08443635914888466,0.5392649795421156
0.191790734762818,0.06371180149021358,0.35189828097018944
0.1691835135157281,0.11023704748203417,0.27682909477647116
0.12510214397504188,0.058622773938205835,0.0979696071938351
0.12887319851963366,0.0888142118665914,0.03628917894706616
0.148839432064021,0.12208316318344761,0.27514218321490463
0.16786421145712505,0.09985130623551335,0.15989990006704416
0.34076735209148884,0.10906386871528757,0.6164886501807496
0.19333402638342573,0.06267020530444056,0.4753936869152221
0.1658477469210791,0.0874685497587986,0.3144187861174521
0.21518912868022055,0.11888959569058823,0.40601112646109466
0.15431106162176536,0.06563818607169368,0.22943876500790142
0.09823773355135537,0.055503099906448194,0.30884879295442524
0.3707188194701077,0.08505664030366883,0.7334208628923208
0.11789054761923393,0.0855732111585441,0.16759544854476635
0.14225696047416533,0.08641501316631856,0.2754494420061941
0.1891411948436283,0.08434669343502012,0.31920681621560504
0.15068385113312954,0.10308288656385146,0.07389186445249073
0.10958506712419522,0.10060429578857147,0.19654496137821242
0.1722823267450186,0.07636441061064232,0.3386107774399821
0.14968841381959005,0.046947870266673665,0.3689651050833576
0.16708467982404088,0.07768573411482572,0.3396941005246764
0.17036073018010978,0.09774238237396436,0.2302092411926945
0.23784935867170653,0.09108236247754035,0.436683150900333
0.125849862794264,0.05960209956199827,0.15616482069844606
0.20207819377352265,0.10090926346234727,0.41582261130960974
0.2573518753373057,0.09366679847792844,0.4961839643069108
0.15923745362202557,0.09055823679364332,0.34244252279452153
0.17186840521339097,0.08637126721720585,0.38148231321560266
0.2599786761115322,0.13138621223996738,0.5745819037581612
0.17588844817615945,0.08939771373729859,0.4256769826948181
0.10903072868660334,0.045104606657331264,0.17687828019120905
0.17988110522018513,0.10388278862613948,0.4101474433670247
0.16769680022961175,0.09538868585811454,0.2605299203084987
0.25321224370089696,0.12589189432643835,0.46124050608868405
0.1794809096675311,0.07035823496933556,0.3107389741201287
0.07740616436440498,0.06519008441439875,0.0877837439576755
0.2731361218501478,0.0986341954350195,0.5711249939958202
0.16666074616745885,0.09096767065006028,0.4200223479848518
0.22793159260579177,0.12064003505688851,0.47052324109150656
0.1403892120620411,0.08680428718898092,0.31006360356964624
