beta,gamma,rho
0.20049721562677997,0.10082144741809465,0.5486444500679754
0.1794630223963743,0.0648992917783808,0.42095384731470303
0.15156122032157912,0.08211801942806714,0.3156574815922876
0.18795445759296564,0.10079589680125192,0.15737901842961766
0.12765727206456254,0.0676039969027703,0.21867566934675065
0.16229197696790296,0.07478416330294338,0.3189509074674507
0.23641911827919554,0.1012175156197807,0.376887259530717
0.16020759187355338,0.07577116645390163,0.32499816324402
0.19014761362140342,0.06489299110462633,0.5122200206370807
0.1367855099597654,0.09832274933687023,0.2018434951718735
0.2534912469289896,0.07522558739558997,0.4984324039583934
0.12517247672289009,0.07309471076887614,0.03986609395100613
0.15183627348276058,0.07348709997736276,0.2902223325314845
0.16186424122608872,0.06914892911321904,0.21581397837077124
0.1710236331318969,0.11042771521593221,0.2998716614949074
0.11170857099255907,0.07075722063086978,0.1855446676819785
0.11520745335529403,0.0800482869118971,0.10625260262736456
0.09580966848009853,0.06955200344419242,0.033027803786924805
0.10703944229862025,0.06562136941783615,0.1257321219826519
0.15278864765354258,0.06937959256224843,0.18716528305222432
0.11652191174778977,0.07470726512104948,0.013763656220729637
0.20639678094495278,0.08834250297025252,0.39465111038689554
0.20653278684710913,0.0908396765106737,0.5080318219707637
0.18747499341040347,0.06225526597448197,0.3458692430156865
0.20146893584345388,0.09059290914900966,0.31383489373296386
0.17702900311929148,0.08991627332989431,0.29976069937080985
0.17735637885253608,0.061702593839457615,0.22965641563514289
0.14710317470389236,0.0806712977229506,0.16673495411177194
0.10649297808230099,0.06838942191096893,0.19738367365094014
0.1606031501594566,0.08264685198951541,0.26668279716917215
0.14433207975851128,0.123011049296042,0.2700131691206593
0.16113787371889796,0.0904825858003654,0.23028656392289612
0.17488903199772726,0.09182026794321523,0.2935014103137628
0.1583950482667781,0.0640342661731719,0.2953465672112889
0.15577057547650758,0.058330569241692415,0.32297985382955247
0.15866288765555825,0.08874888482130244,0.3153507862426488
0.12181397168680151,0.12564895149296815,0.10363728810165354
0.16641592116306614,0.10756013144318348,0.1139886965099783
0.19502906824969035,0.10613662753639445,0.3567352595533566
0.2399274264164521,0.1164660346349216,0.41266731000787793
0.24205724527574024,0.09738283845129565,0.5598232973097467
0.18368799323305485,0.08108602838668102,0.3286277321906571
0.22633336258882442,0.08583655220866983,0.49804376389404875
0.12809215311527478,0.09690994030821237,0.25864319034184746
0.15986575489265756,0.09025853405319473,0.3364397708037773
0.16964493328224733,0.0739240450450306,0.46318795948423325
0.11863047587148615,0.07516065273613261,0.07459620410458916
0.20770817721398416,0.0964050866890952,0.35074551583793956
0.17142399480293402,0.08071981030021598,0.3094244715841315
0.12884578797447965,0.05945561600913567,0.2291766608381555
0.17447673202705172,0.07581614015728781,0.16834929170942223
0.20113519382315875,0.06508410011637349,0.3884694445377903
0.14684501406744752,0.07707082978784151,0.06274094058333528
0.18763059250694492,0.0938350032349573,0.36888675668139403
0.1264811531279592,0.05638207463476473,0.15692055594364815
0.1300802137481646,0.07626736176903659,0.24215259687062637
0.19191168182420298,0.07755980983102499,0.24567787250168627
0.18482587605040607,0.09666306849672289,0.16652016620003787
0.17885307158877167,0.08696185245559716,0.3243151873784702
0.1686598350007567,0.08603994937454353,0.3988924512687324
0.11950757736487529,0.10426074679554141,0.072990079651077
0.13847352062258278,0.0925134438507718,0.07609544740668328
0.16456761159633798,0.07319132977778713,0.3145493018840247
0.14407779080010352,0.10644455455176119,0.27730624892162686
0.14902854271396193,0.072871446720502,0.2450664020122904
