beta,gamma,rho
0.17010337251882585,0.06156308049511826,0.2862429903273389
0.15156122032157912,0.08211801942806714,0.3156574815922876
0.20973183823510116,0.10222658332425169,0.30646100502201784
0.18795445759296564,0.10079589680125192,0.15737901842961766
0.12765727206456254,0.0676039969027703,0.21867566934675065
0.15202166053615657,0.05829201247483641,0.32128915675542774
0.16229197696790296,0.07478416330294338,0.3189509074674507
0.12473781048892449,0.048322901248566794,0.3194158872392472
0.16020759187355338,0.07577116645390163,0.32499816324402
0.17289458881337205,0.07048380981049077,0.42686018175695994
0.19014761362140342,0.06489299110462633,0.5122200206370807
0.16801151938597392,0.10867811542256231,0.0005846798235439543
0.14118771143039138,0.09781265940551884,0.32061996343377336
0.1367855099597654,0.09832274933687023,0.2018434951718735
0.2093372030229218,0.0776632889744557,0.40030365483723707
0.2534912469289896,0.07522558739558997,0.4984324039583934
0.12517247672289009,0.07309471076887614,0.03986609395100613
0.13027939607671307,0.10883240918087447,0.1343232232668373
0.10167611096796397,0.0967461061241645,0.16149174828573543
0.1823363524654178,0.0923029558118702,0.03136387941355308
0.1639488700905543,0.09210944227274728,0.39652087495691524
0.19433103102053084,0.07715784544129205,0.2662724027246101
0.1710236331318969,0.11042771521593221,0.2998716614949074
0.11170857099255907,0.07075722063086978,0.1855446676819785
0.08095708444309908,0.07991035983498557,0.03508873860715394
0.1776026109544172,0.10325524636416644,0.14944184754150608
0.10703944229862025,0.06562136941783615,0.1257321219826519
0.238373846989688,0.10020465756029312,0.30169267809780886
0.15278864765354258,0.06937959256224843,0.18716528305222432
0.11652191174778977,0.07470726512104948,0.013763656220729637
0.1379455831703162,0.08308492477800843,0.023861498080815304
0.206647442306221,0.13519620720168204,0.26312996124011373
0.20639678094495278,0.08834250297025252,0.39465111038689554
0.20653278684710913,0.0908396765106737,0.5080318219707637
0.18747499341040347,0.06225526597448197,0.3458692430156865
0.20146893584345388,0.09059290914900966,0.31383489373296386
0.17702900311929148,0.08991627332989431,0.29976069937080985
0.10649297808230099,0.06838942191096893,0.19738367365094014
0.269873121459478,0.10518442904035882,0.37298779464924303
0.20367563542367362,0.09796264670600895,0.20028615876594708
0.1606031501594566,0.08264685198951541,0.26668279716917215
0.1527721568794028,0.057212720793984984,0.2119235063781475
0.14433207975851128,0.123011049296042,0.2700131691206593
0.16113787371889796,0.0904825858003654,0.23028656392289612
0.17488903199772726,0.09182026794321523,0.2935014103137628
0.15577057547650758,0.058330569241692415,0.32297985382955247
0.15866288765555825,0.08874888482130244,0.3153507862426488
0.12181397168680151,0.12564895149296815,0.10363728810165354
0.16641592116306614,0.10756013144318348,0.1139886965099783
0.19502906824969035,0.10613662753639445,0.3567352595533566
0.17539182015988336,0.07922851928815147,0.3862937801389003
0.1513786013567751,0.0782816470567798,0.23597868236903513
0.24205724527574024,0.09738283845129565,0.5598232973097467
0.18368799323305485,0.08108602838668102,0.3286277321906571
0.12809215311527478,0.09690994030821237,0.25864319034184746
0.15986575489265756,0.09025853405319473,0.3364397708037773
0.16964493328224733,0.0739240450450306,0.46318795948423325
0.11863047587148615,0.07516065273613261,0.07459620410458916
0.20770817721398416,0.0964050866890952,0.35074551583793956
0.17142399480293402,0.08071981030021598,0.3094244715841315
0.12884578797447965,0.05945561600913567,0.2291766608381555
0.16862039107229798,0.09390823396224926,0.25284052893756126
0.22598264282536906,0.08138648081483327,0.5489039237197292
0.1264811531279592,0.05638207463476473,0.15692055594364815
0.1300802137481646,0.07626736176903659,0.24215259687062637
0.19191168182420298,0.07755980983102499,0.24567787250168627
0.18482587605040607,0.09666306849672289,0.16652016620003787
0.1686598350007567,0.08603994937454353,0.3988924512687324
0.11950757736487529,0.10426074679554141,0.072990079651077
0.16456761159633798,0.07319132977778713,0.3145493018840247
0.14407779080010352,0.10644455455176119,0.27730624892162686
0.14902854271396193,0.072871446720502,0.2450664020122904
0.3036247699829898,0.09819767386657659,0.6314649497501486
0.21919203393425007,0.07791205823786408,0.43534397068604724
0.22737107675964857,0.10906434159928863,0.24629264217734834
0.2827194321400902,0.12273734537959576,0.4778836372874457
0.18865843933064214,0.11341606557051383,0.23499316089685182
0.1220501304093839,0.04915963824696832,0.2826310849923804
0.16445921956613063,0.08515170350805758,0.03223287317388834
0.11171650547943554,0.10156030415261173,0.0540822456146139
0.22155050464865883,0.06705702743775212,0.5340287686926317
0.08901232258200129,0.06523055886106952,0.06652816584958075
0.14877609882502923,0.08632091070484947,0.2742068974205642
