beta,gamma,rho
0.1794630223963743,0.0648992917783808,0.42095384731470303
0.15156122032157912,0.08211801942806714,0.3156574815922876
0.12765727206456254,0.0676039969027703,0.21867566934675065
0.23641911827919554,0.1012175156197807,0.376887259530717
0.2534912469289896,0.07522558739558997,0.4984324039583934
0.12517247672289009,0.07309471076887614,0.03986609395100613
0.16186424122608872,0.06914892911321904,0.21581397837077124
0.1710236331318969,0.11042771521593221,0.2998716614949074
0.11170857099255907,0.07075722063086978,0.1855446676819785
0.11520745335529403,0.0800482869118971,0.10625260262736456
0.09580966848009853,0.06955200344419242,0.033027803786924805
0.10703944229862025,0.06562136941783615,0.1257321219826519
0.15278864765354258,0.06937959256224843,0.18716528305222432
0.20639678094495278,0.08834250297025252,0.39465111038689554
0.20146893584345388,0.09059290914900966,0.31383489373296386
0.14433207975851128,0.123011049296042,0.2700131691206593
0.16113787371889796,0.0904825858003654,0.23028656392289612
0.17488903199772726,0.09182026794321523,0.2935014103137628
0.15866288765555825,0.08874888482130244,0.3153507862426488
0.16641592116306614,0.10756013144318348,0.1139886965099783
0.2399274264164521,0.1164660346349216,0.41266731000787793
0.15986575489265756,0.09025853405319473,0.3364397708037773
0.16964493328224733,0.0739240450450306,0.46318795948423325
0.11863047587148615,0.07516065273613261,0.07459620410458916
0.20770817721398416,0.0964050866890952,0.35074551583793956
0.12884578797447965,0.05945561600913567,0.2291766608381555
0.20113519382315875,0.06508410011637349,0.3884694445377903
0.1300802137481646,0.07626736176903659,0.24215259687062637
0.19191168182420298,0.07755980983102499,0.24567787250168627
0.18482587605040607,0.09666306849672289,0.16652016620003787
0.17885307158877167,0.08696185245559716,0.3243151873784702
0.1686598350007567,0.08603994937454353,0.3988924512687324
0.11950757736487529,0.10426074679554141,0.072990079651077
0.14407779080010352,0.10644455455176119,0.27730624892162686
0.14902854271396193,0.072871446720502,0.2450664020122904
0.08901232258200129,0.06523055886106952,0.06652816584958075
0.14877609882502923,0.08632091070484947,0.2742068974205642
0.19459431566489788,0.07182619160848672,0.4077171958721131
0.20577337512184912,0.09156772789187491,0.4446558444448827
0.17671985576076832,0.08899509692026189,0.39756043340317354
0.14898503042047334,0.09786714353288832,0.11545394038332919
0.1515567336079396,0.10401343278066497,0.03406716995348598
0.17940493734600793,0.07100593619462334,0.24607212833411252
0.14577564606737764,0.0818464679513563,0.14117382873080714
0.14531388745197227,0.11083911321798366,0.3979518002640283
0.15498271552337936,0.07139439755483085,0.33895760947714826
0.0961275747222263,0.08993388338925083,0.08913629689311914
0.21311425737077277,0.07732565017340687,0.37666383300348444
0.131322839041071,0.0992560503254916,0.20108627288214898
0.17656483325792044,0.07955314384019715,0.27354936021120174
0.17083527386110375,0.08987978099881189,0.1784510354001946
0.11312053882223713,0.0774101454265082,0.26652424576208417
0.15357669176929445,0.06744421792124526,0.3687857978361997
0.1762345167258334,0.10939502778463572,0.2639431988474445
0.19040860129902154,0.10904489106609477,0.2726853965848166
0.1719775503432517,0.07530707683039121,0.3689819474203712
0.1573580825844459,0.11773450953206137,0.21061454827584153
0.18883444304681463,0.09549914706272482,0.18669166850479568
0.15961518359110682,0.06320632168867399,0.37182861828211805
0.27521242831606324,0.08484512540573488,0.4768033841283201
0.18220188659487552,0.06978439405446113,0.4841559895887082
0.22978661099067016,0.10395949281490818,0.4816514211890396
0.10068925800786886,0.06801463898079672,0.03834724554918845
0.1070421992985687,0.08249518266935661,0.14195516166767305
0.2212408489004234,0.10576984951938839,0.43893570972237805
0.14437184308857864,0.08943138841615166,0.35393500558501484
0.13696864070814246,0.0627882755916152,0.2761829388400937
0.1427977958257865,0.05356993841686224,0.29471666647027367
0.15937978857860502,0.07600794824680161,0.3157163276550054
0.19285481248940034,0.07673764887181501,0.5444762171432446
0.19092163129052464,0.07310947711363193,0.15466963265799738
0.2784727423327587,0.10017729613594362,0.4472717824840469
0.1355807019249852,0.06349066467262557,0.20813048205001394
0.13407427361461594,0.08384224720449654,0.2118926014714047
0.17492126378688064,0.10604953315342817,0.408388291213796
0.1192321435590712,0.06824846873926867,0.2449487487899094
0.15500119135131335,0.10172700488019654,0.3078737049362767
0.13808169427452832,0.0903706930399523,0.2543878886016017
0.09816062757310225,0.07639269700273546,0.18624879189003352
0.19877482661993034,0.12203757117969662,0.04876754081657513
0.09672643435353155,0.11444662857508975,0.005159383021110565
0.1415433280968591,0.07103332911992154,0.1777620394367566
0.10992436290120638,0.07324929372222945,0.03885259019410406
0.10851953617589186,0.09593041093736827,0.15099509216484278
0.1561923199329948,0.09275125825036615,0.2762141494424581
0.22623015603498592,0.07400500142462242,0.5259979389607142
0.14920152116160668,0.07616143061801553,0.37961472338181496
0.18927046961487615,0.11478578009881465,0.40684320286946235
0.15202317401885096,0.055910498066934544,0.29715829382538467
0.16745179286350637,0.10703044666256617,0.20858007247803256
0.14843150605472144,0.07169363672133393,0.3057102150719162
0.16215964283261736,0.08870582378445596,0.4406325861273179
0.16167952461052376,0.08368025727332251,0.41922292914500664
0.1853753943468162,0.05345567945632787,0.4623606287733057
0.16376006664211984,0.08192651838190065,0.3165735293122299
0.17035666097413332,0.0793357527879238,0.3328929447526287
0.13910624167946772,0.10236742542280955,0.13835996112959778
0.20761264461329199,0.1097062756812629,0.3126319756235641
0.1616202509926702,0.0646978647368139,0.2598207479668099
0.2258508723956575,0.1299980567864384,0.27702425771477873
0.21271356391856094,0.10625072701602958,0.2215908250283638
0.2002980564802842,0.12471254483735507,0.3093541107973925
0.16688455689168413,0.07864895286192593,0.3013496916890992
0.16417987051930122,0.07659120792390865,0.2264855393475899
0.22268030238691278,0.11373014629755704,0.4015252954065265
0.16789621074115701,0.09072441846584557,0.23417544930606163
0.1539535808151547,0.10323710645083552,0.15621488532449482
0.1330519041252988,0.06074742960971112,0.19260522241831649
0.14321460386301055,0.10090277494866576,0.25097318282780096
0.18880628547752654,0.09930504897953138,0.19722186408623
0.15912297672097597,0.11466033691652024,0.2036973277727353
0.16538695212422955,0.10934587059452097,0.19334001029170525
0.22447817492767325,0.09622533951232577,0.41585040608744894
0.22626282445380475,0.10217812391771981,0.47771829954557515
0.22138002763407788,0.09836413498600666,0.4346371612260951
0.2062207988816901,0.0933438133293619,0.307353113443597
0.17210276269702973,0.0954114460815836,0.21301541042682548
0.15223688541567887,0.07631338898270079,0.3579253617735626
0.11130080001128453,0.08007572156309656,0.10462496725018032
0.24196793548782813,0.09124881669222659,0.4695692968991913
0.1280615133729552,0.06450733552189863,0.30661551371654067
0.15492425229060153,0.08833384870815053,0.28663281218532755
0.14335604027676127,0.06753937727714736,0.33544243568555987
0.14911372991426147,0.05709270729582837,0.20622521198187052
0.15264725840512505,0.0926581085734364,0.22770916178479245
0.11232844767497324,0.09103993557035853,0.1982774338007065
0.13324365233117785,0.06925931829519881,0.2277144823346724
0.1319412219557189,0.05133549752003112,0.3550071841803341
0.17655909995051972,0.10454938598705252,0.3367033132493939
0.14296716296260487,0.08102910601616993,0.1897527862326542
0.15854845493992517,0.0871600252710671,0.21455158011632902
0.10185174276340733,0.06610854491938986,0.04956631645708836
0.21381656776697677,0.1048798341829052,0.4145418467852511
0.1030002719433839,0.08882336330023725,0.05261766336387446
0.14139926577207607,0.08776193920335142,0.1791562239936984
0.17115280695504737,0.07697919443461494,0.36399628591899913
0.14571139129179483,0.11864507160827278,0.08892356926123242
0.18213973550848944,0.08030285788237418,0.42422378444610054
0.16989116597533668,0.07358763067260517,0.37109027103517517
0.1842136333190521,0.09210114276178961,0.4103196518262225
0.14335462089983997,0.08186705169957703,0.1569280876079934
0.13953116195954243,0.09901485048414048,0.23802194752598718
0.15361237878702352,0.06594124996303082,0.4056504801032615
0.2348853882780031,0.08813410183250789,0.5146710935628075
0.2512763824151721,0.10360309183981314,0.47410257336793404
0.19112110754913425,0.07835218595421811,0.36625105793813834
