beta,gamma,rho
0.2586449790979939,0.06991662163437368,0.5528802617801404
0.20049721562677997,0.10082144741809465,0.5486444500679754
0.12868702984613892,0.11728536212911739,0.19471323363563597
0.1794630223963743,0.0648992917783808,0.42095384731470303
0.12764205313337726,0.11163268722266549,0.16780949666000453
0.15156122032157912,0.08211801942806714,0.3156574815922876
0.21423256853659167,0.062354458906136764,0.47451311940282254
0.18591597486703365,0.09612744626479972,0.23598654864239288
0.1898379970102872,0.07527564156814756,0.28086759710205705
0.21270783684829098,0.07034372217274562,0.45416124452361367
0.21439119373753074,0.09443661984164584,0.3227108086509534
0.1133552925038834,0.10031867167056772,0.3378947872464645
0.24645793092084284,0.0578661298127779,0.5633239046649366
0.2149156913141565,0.062062099156502654,0.3842714251801324
0.13846050861992956,0.061527912979364205,0.1992277632173831
0.2226250483349182,0.10618568846132573,0.14122503709896242
0.20973183823510116,0.10222658332425169,0.30646100502201784
0.17625259886774414,0.12887893584102977,0.3211366365825199
0.18795445759296564,0.10079589680125192,0.15737901842961766
0.1472288689738436,0.07491067239208715,0.16256539728539457
0.14872009190790095,0.1299808235332328,0.1764191763821069
0.1856166096186999,0.0718673326582323,0.29366628224501534
0.12765727206456254,0.0676039969027703,0.21867566934675065
0.15202166053615657,0.05829201247483641,0.32128915675542774
0.16229197696790296,0.07478416330294338,0.3189509074674507
0.2348362131879887,0.0599617993163416,0.5686785928415959
0.10796642548045232,0.05614329632614318,0.22327238176734632
0.23641911827919554,0.1012175156197807,0.376887259530717
0.12318609238938819,0.08772719835549575,0.2990562092583341
0.16773336971231628,0.0671508627107054,0.3379958490697057
0.19249721811478365,0.12280951167980378,0.2965242731901297
0.16020759187355338,0.07577116645390163,0.32499816324402
0.17289458881337205,0.07048380981049077,0.42686018175695994
0.1759838073607885,0.12280530716980134,0.26728873192888786
0.11449030581471498,0.09632800404296,0.21833113901180345
0.19014761362140342,0.06489299110462633,0.5122200206370807
0.17604597852725756,0.10467768205191581,0.29338841684170314
0.16845178030670352,0.09589494523851828,0.36327445752634385
0.14118771143039138,0.09781265940551884,0.32061996343377336
0.11848003967251972,0.08277936137117833,0.32632308012836914
0.1367855099597654,0.09832274933687023,0.2018434951718735
0.11354585181767053,0.11369588489245949,0.13139933360111397
0.1623777229499484,0.11579781503283502,0.18286488497371123
0.2503109659745545,0.08110491612376178,0.28857164685894254
0.1995957455289727,0.045228777733331324,0.31272300388550534
0.2093372030229218,0.0776632889744557,0.40030365483723707
0.22069294120648153,0.07751720959686316,0.620228393402554
0.2534912469289896,0.07522558739558997,0.4984324039583934
0.12517247672289009,0.07309471076887614,0.03986609395100613
0.13027939607671307,0.10883240918087447,0.1343232232668373
0.21654109438701924,0.12979731665931074,0.32001038298544704
0.2227480909713529,0.12785210455214324,0.23543456143468183
0.25744584922642144,0.1025251000292577,0.4506236121246162
0.16346756237714566,0.11031059314204371,0.3115839425316625
0.1670002059194644,0.13160709237455973,0.12453393262880744
0.10167611096796397,0.0967461061241645,0.16149174828573543
0.22230526676153856,0.10517255990202588,0.376001170520186
0.2106933055561503,0.09033469940954547,0.38508929686889337
0.15183627348276058,0.07348709997736276,0.2902223325314845
0.19836983389190443,0.08145391877141771,0.2016626697994867
