beta,gamma,rho
0.258432142069841,0.08698489525332039,0.529498042989668
0.13291053464332947,0.07049895097590125,0.08387997091916316
0.14679631646397873,0.08759158809176865,0.09821953394909003
0.20139753350174672,0.116207892513779,0.3544708605723419
0.120001605998937,0.05931264991092465,0.09403349976328307
0.26054779411071727,0.0800061879353666,0.6039907398311865
0.148839432064021,0.12208316318344761,0.27514218321490463
0.16242372427455115,0.07292688092508032,0.3250868056702042
0.1169491988547086,0.0789615375935356,0.17095791935989688
0.2227357321771003,0.10861045754389641,0.36630387767966166
0.16675530712076672,0.07786572200386768,0.4639634075566716
0.09766616899613537,0.07842229137789564,0.13313836428372455
0.18564303087277761,0.07539301501051483,0.3907110807941754
0.17052317215010313,0.07981599188124242,0.35033546315532027
0.11418514300014611,0.07578753908857115,0.0985175893029072
0.24193625565456317,0.09141154353179051,0.31131350628372456
0.15076381085097645,0.09042155452825798,0.028041792224804407
0.24731857544058872,0.08426382129411926,0.3578381774981482
0.18926590211019456,0.09615746979873535,0.36168933669968095
0.2435516650075082,0.10189718202785551,0.3856531053891208
0.2075253809778117,0.1238990460423216,0.3739645085794031
0.22501442099217966,0.10509102814533132,0.42380050556190857
0.156464681793072,0.11231730427478027,0.051342589440370914
0.14267260999937262,0.10803335621320628,0.32087727828652196
0.20925797231642151,0.057950880360941245,0.4848776676572687
0.20908419462770395,0.09616730071315059,0.5144810184204761
0.22502536545332624,0.09096197924060986,0.5582331099756156
0.15068385113312954,0.10308288656385146,0.07389186445249073
0.10958506712419522,0.10060429578857147,0.19654496137821242
0.1722823267450186,0.07636441061064232,0.3386107774399821
0.1749474453696783,0.0806984795135965,0.37081904805530463
0.125849862794264,0.05960209956199827,0.15616482069844606
0.21551981248735425,0.0953928570301893,0.41059445912385206
0.22887826497575042,0.06280922754772175,0.5137180419459159
0.08661621984614845,0.06379585768583784,0.04893156074969838
0.10830399922106256,0.07108634973578322,0.08179909760464313
0.15923745362202557,0.09055823679364332,0.34244252279452153
0.17186840521339097,0.08637126721720585,0.38148231321560266
0.19650060531194852,0.055760044655257954,0.365185639239843
0.22612130512920198,0.08997490224846795,0.5139438706019009
0.16993379648962958,0.08750600150732264,0.3159396691139734
0.15416168160154248,0.09922385535159309,0.1935433895718071
0.1480876392600909,0.12179764454791968,0.22116444773388047
0.1825579193213463,0.10086291520399367,0.36929298740719024
0.14630071473992567,0.0520316835962788,0.3193905689272337
0.2238016525457538,0.10968034703741132,0.5127717159939638
0.11902035340068146,0.05794640436185319,0.05768774531048715
0.16667724518848695,0.06745395495739293,0.318920767213987
0.20291485203871185,0.09074885975577952,0.3571081311948177
0.169567398787384,0.08736624180277015,0.44126724780077825
