beta,gamma,rho
0.161604962999016,0.08104347928649898,0.37308535962186007
0.26907227848262094,0.11196023362460952,0.5417745873009823
0.12652741538616916,0.0992215593956769,0.32662471739116017
0.16279601550294423,0.09253702993457688,0.3362302241956708
0.14679631646397873,0.08759158809176865,0.09821953394909003
0.23030080161493527,0.08877903931232858,0.4788620035996807
0.201076933920886,0.08402999170297044,0.31716134178106803
0.11880869507098481,0.06111635870871375,0.17095193633892247
0.1691835135157281,0.11023704748203417,0.27682909477647116
0.20139753350174672,0.116207892513779,0.3544708605723419
0.18440818843255796,0.11121612323344587,0.46917247891555114
0.1624962997203095,0.12014983604538416,0.35495050360041847
0.15715354562145706,0.08348377464586894,0.30535542131152776
0.16242372427455115,0.07292688092508032,0.3250868056702042
0.16117306462547804,0.07452511522066414,0.3372025948229269
0.17052317215010313,0.07981599188124242,0.35033546315532027
0.16005991626744331,0.11051991235901497,0.22027830998694473
0.28156333987168836,0.10663269042867303,0.4759679570488123
0.11072952591363106,0.053459564496474585,0.2107153955064802
0.23842458117590465,0.09307218228957433,0.3482974502319678
0.13471039920459354,0.08628590338155274,0.26969556086938323
0.20541718379825746,0.10468205785275879,0.5344555190104984
0.18289218816779557,0.1055548048142166,0.21519793005689422
0.1891411948436283,0.08434669343502012,0.31920681621560504
0.2263580706669161,0.11996783564613694,0.46790261738978495
0.12460699530047084,0.06593445181966232,0.13326124840076678
0.19503322573615334,0.09780317217419005,0.44794408144165765
0.1838463239576446,0.1153038756452166,0.33281720682877086
0.23784935867170653,0.09108236247754035,0.436683150900333
0.19365466271021914,0.12220015366361534,0.28292660743797493
0.24296634477729406,0.10132651132187809,0.3581091456446682
0.17786002070892964,0.10847142754233137,0.3851118092071928
0.200835294165646,0.07451589077416494,0.46523222837595296
0.29636256899475916,0.1357454394684513,0.6459813143825333
0.17218020398718248,0.07335722309334024,0.33472563226716634
0.25321224370089696,0.12589189432643835,0.46124050608868405
0.12336106408297418,0.05932381157172559,0.35401116202696753
0.18292124229238232,0.05626884353986593,0.5053229483024374
0.26387763524821073,0.11527062506769477,0.3813352673633292
0.14623450026927276,0.10520300071113535,0.2814876664051706
0.2917057674349123,0.12388831128109173,0.6383937535941543
0.16951485228030233,0.10091195703805908,0.27940991430647166
0.16667724518848695,0.06745395495739293,0.318920767213987
0.17170416357202717,0.06492758379307931,0.4316116490211028
0.1542944429759228,0.10729137244895659,0.33832044830979857
0.22386389908137166,0.11094558467298064,0.301346286235279
