beta,gamma,rho
0.18544364196864752,0.09662299262732954,0.4568070394746462
0.18804993720763344,0.08570889198124498,0.40166642514373974
0.11119044008991785,0.07412361484851329,0.219320056522281
0.1482090222715403,0.08377948979383622,0.12756377239052144
0.14867741689335082,0.08504692672635841,0.2625165395863286
0.14911865300062696,0.07723844201502482,0.3728423767289933
0.19939487301431677,0.08820532813163462,0.317485265883711
0.17510720807239036,0.09073048550829882,0.3151838653331286
0.1698527718308887,0.08858200143816668,0.4236670718489117
0.14303644500355142,0.07871557676022752,0.2838961500973417
0.22416619284065312,0.06473218085404514,0.41875652286275955
0.1399348091464871,0.08735174688083039,0.05109327269280296
0.1264198706797104,0.085579101420789,0.20532743238123033
0.1460161761939683,0.0848074092277069,0.1847915328516235
0.1438245967983986,0.0874872628836313,0.27520100105700457
0.1167580647075058,0.08192360104719422,0.17020821695557056
0.12538906603249095,0.06736540608617313,0.14879869033065102
0.10052776075646361,0.09438901957990743,0.030405267734197355
0.11056899233864181,0.07327683760996784,0.18569294529465172
0.13992371962169528,0.08341995780299348,0.16312428185320063
0.14899312631389047,0.09511141222557776,0.11413343133704999
0.19476996945991823,0.07860179108335122,0.42300055501386197
0.14856823432116428,0.07235867415033327,0.4198430877803384
0.15415838932521125,0.07387078033849018,0.21290019929406817
0.2197255132858993,0.08555956420823921,0.40854034048510746
0.22430259878399406,0.09094135282002298,0.45647179986825
0.1640548492567352,0.07400500153068487,0.25129928954354125
0.1762230373623398,0.07722638670489092,0.3100866238751733
0.1370722586469408,0.09544023891252695,0.21890444239853635
0.16218919511048552,0.0867177131904,0.20421392881597572
0.12903623586925492,0.09934928829916273,0.2718879618716749
0.16712510852127938,0.07999605956024329,0.27002206374351795
0.16372881810070017,0.07835776858584013,0.3082381116190007
0.17603243935173934,0.07222941072335913,0.38246419274262194
0.15444166690241984,0.08980137970397477,0.2488234114862527
0.1549455086343037,0.08529348083667844,0.357880385586012
0.10296791336664858,0.09244448120712107,0.09447900100879324
0.18706640275285027,0.0960210420981888,0.22743522284675521
0.19069358606147677,0.08715298666434193,0.35041692357005155
0.21609250125324192,0.08990085435713915,0.3786209766715357
0.2019786864044771,0.08170917059508273,0.5064451827438657
0.19093232142537322,0.08681495010882159,0.3967150830425291
0.17538559951950455,0.08681067140417725,0.3625597612383418
0.13769849851892252,0.07218048700397436,0.2974661164550964
0.17837471208729022,0.08520417415923177,0.3654230173015756
0.18036646289856975,0.08543691559099509,0.44075942541682467
0.10934535258808542,0.07537739005649359,0.11350293122778315
0.18766046467928899,0.08455828689761655,0.32231618031150344
0.15364762714936278,0.08836761788658597,0.3242138366696456
0.1499284454074682,0.0724490470158503,0.24746587012096843
0.12979172759200178,0.06499097195114213,0.14131070938219417
0.21187604257659673,0.08739270832513829,0.40367988805818084
0.14763631083459805,0.09500317527560279,0.15254823792944103
0.15431392118972925,0.08444431067629982,0.2663672862997747
