beta,gamma,rho
0.1876541350528747,0.08005503014101104,0.4038652562066204
0.1688151275868805,0.08242385853916961,0.30313872537489106
0.2506972925171093,0.0844996961602016,0.4086668710458205
0.14405641732695454,0.09020712752705635,0.3103849598096152
0.2901798795786682,0.09071241328154356,0.3531186143105147
0.1521690625221249,0.08081104784824847,0.2894203598401875
0.12459197920718508,0.09208082991999693,0.2810633310054299
0.14369618654635566,0.08169834372852884,0.24802026640484873
0.16089853172451132,0.09013761388240135,0.2692323544459925
0.1905849613888318,0.08580764033350968,0.3796351414445017
0.1751274022764172,0.09118357332138786,0.33353567994989414
0.17139766599216666,0.07622116847620569,0.4126675895714762
0.139156847337975,0.09883595760331865,0.21319697905148738
0.12685027808689942,0.07817389903660861,0.2972875571389374
0.2044158598674348,0.08956730412897378,0.3375513844168809
0.20206058978136518,0.09087146709951711,0.4044102129612188
0.12557372555198024,0.07500839004239036,0.3483227084137421
0.1992412755064401,0.0846860630944104,0.34293965294895523
0.1662234698760263,0.10899140808154666,0.34574671642415744
0.21159668788031072,0.08038985302311331,0.34874296832934626
0.1575956875160477,0.07997407981892331,0.3207740815406192
0.16824208510178917,0.08880638627957654,0.3435602421331536
0.18468216302511412,0.07850221762458351,0.2816827717456064
0.15335770611144486,0.07639092547593311,0.2843644444658323
0.1435109228049306,0.08147878727751692,0.24208676920114008
0.10788092985192352,0.0865792710312957,0.17695271284954317
0.1712684782842153,0.08855935017606349,0.3829006150161654
0.17769166657148516,0.08517791768208627,0.31867095760972947
0.1901452415188008,0.09340387663164972,0.3609259226554061
0.18407281071093606,0.08438176240524689,0.3467943099223976
0.15659009749409705,0.09281627477237,0.2619908342529946
0.20000923327893524,0.09481957150835689,0.298135068444612
0.1605504657922424,0.08102936981840603,0.2792645818678558
0.15723934045573415,0.10200722337733328,0.3045683297972673
0.17719007028109274,0.08384610683060306,0.31868131142012235
0.17223081758256736,0.0826614033377438,0.30590928145867063
0.12738507382499523,0.08724782065744416,0.22460200691713889
0.21668238112661387,0.09884379170772534,0.39379473072516624
0.12543195468305957,0.08364835983625007,0.2601528870803971
0.15661959895576583,0.08023851983013267,0.30432188941757693
0.1596791976654608,0.07605632239117308,0.3052503037223449
0.15043959426909687,0.07867713270238197,0.33776296712427234
0.18027109871747277,0.08429477913036298,0.3783036464085797
0.17522933014062658,0.09654784769557018,0.2432607714736799
0.14176357677522775,0.0933445290028943,0.27158682229555103
0.19749651598612694,0.08504341810193278,0.3373940639066939
0.17904052425379718,0.08181784488869123,0.3304763591428249
0.16968116801115005,0.09081828512238649,0.31598757132603766
0.11556683488356348,0.07817592872239776,0.27234558169123124
0.1651750475070428,0.09104991146592559,0.37671781165238283
0.17502419311699802,0.08402361792929995,0.3338510892618698
0.1734906485421277,0.08071434006901973,0.36165239329822413
0.13887734048061318,0.09262523062899458,0.2930646391997978
0.17082821938533707,0.09893656294655437,0.34475243963802815
0.16709454029622184,0.08963852060892019,0.2580498458320356
0.18828535973906713,0.08801030393545128,0.3584455160127733
0.1829271086141601,0.08036726590691705,0.28620407108885426
0.13929066104412394,0.07713593618641082,0.28575104919144223
0.16609702121143052,0.09929030285641284,0.34720705832214105
0.1838408724417373,0.09175854548516664,0.3265703861701342
0.2799411949735362,0.08719940215240725,0.47983183661431067
0.16289326477104646,0.097994425333977,0.3323525753795291
0.12720902794001968,0.0794990768066027,0.2804969700110991
0.18465067944467206,0.07295710637487796,0.33478498143081237
0.11526191150412876,0.08458739261106613,0.27209150790790565
0.253770456956163,0.07279546850214044,0.39361574571010094
0.14896889542150166,0.09418033883756306,0.2835223076124841
0.14608430011172685,0.07570065906462692,0.23554024923416872
0.15253374039222212,0.09300295291450769,0.2685301147142327
0.12354058071232227,0.07679806201872724,0.21027536760734883
0.1595939663546552,0.08161461404130158,0.35514160546524964
0.1397272648242633,0.08447313775810787,0.27371351966422225
0.17628088965503724,0.07393022256631904,0.3377872377286405
0.16486129839317828,0.09045403596371003,0.3481581776833756
0.21073541634465331,0.09016950542353969,0.35437679523260635
0.1985820289966502,0.08345260163230439,0.3101443912137285
0.18149854708875723,0.07754872531625548,0.31471156102585174
0.15130900143459275,0.08498486265602206,0.22733846586945605
0.14218597643970393,0.07226971546146359,0.2724940257599743
0.1733495686040302,0.08188329492620267,0.36443808497822394
0.20563224170681121,0.09431275579652007,0.32773658929954946
0.21286857644379598,0.059575718334001965,0.3900533228551827
0.17897210773423172,0.08589721478662382,0.2893225980592289
0.15509320008919308,0.09059408354396248,0.3040337360017481
0.11187984395246073,0.09239637405999299,0.2542729238445414
0.18439390248099802,0.10250613896228745,0.33894679976866404
0.18204928267629353,0.10428918029740594,0.3176490563545762
0.23235807884004128,0.06776912747759595,0.39224173569715276
0.167524970705578,0.08878909465132664,0.2890218915028806
0.20780870683022545,0.08567228466565482,0.40267847029608245
0.19677514387486722,0.09362346923142773,0.36544001074605825
0.2029362467425273,0.0932688971594556,0.3887359922288569
0.1754487511777536,0.09901307413737122,0.28709230234427646
0.17095449305204186,0.0918124573296998,0.29694458028392423
0.16184554124360878,0.08954354784107046,0.31246377691128696
0.1628063731297249,0.08310546906481689,0.2585177850128052
0.19588118906782545,0.0775213032389193,0.35351439567221354
0.18281244805459942,0.09016103264771597,0.33488676467694467
0.14110117523620988,0.08424571901828559,0.26782117047240794
0.18882757287227273,0.0897943904933822,0.3216327932455258
0.19375218479251555,0.07888184643510499,0.35628144444959703
0.18976602470531284,0.0683028032924158,0.3410863338458121
0.13511919611617207,0.09279538563141614,0.3000076760627441
0.2126752705543359,0.08759052459959223,0.3564726609869861
0.17550490121181578,0.08199506697097711,0.2569065578273498
0.20406765590172463,0.09324168039934119,0.3462249349988563
0.15494853293868882,0.06991246934621112,0.31794158499594694
0.17937728802021335,0.08909076134101652,0.31289255055555154
0.17851687969057933,0.07339016426370958,0.3762443055459027
0.11559972078972411,0.08108509607678792,0.2606976641177995
0.16944505088444486,0.07862843662372014,0.39603137753344575
0.17536115105963374,0.08091620531877204,0.3143468247326687
0.1170853093778915,0.08444317298067394,0.2684043262290895
0.15904320510924555,0.07443113299025428,0.26607041665468945
0.1614674386590502,0.07695021061944417,0.32716246236075663
0.19877880197940645,0.0888926911675681,0.31135639330371334
0.14889014874835216,0.07054481314185121,0.2757782675295136
0.15246003624671378,0.07510891060438236,0.30598893025193297
0.15716040334584935,0.07907621914588032,0.22404671245554297
0.24221187170510222,0.08244102667410477,0.32484111890775574
0.16259603649931048,0.09073852996599072,0.3362954770553282
0.17466865205071389,0.10159916961674262,0.273965085480836
0.15611633085184062,0.08058170691940104,0.28041425586119406
0.1424891442058316,0.10319473106211022,0.28327412490537546
0.1903296119795875,0.08802140123200465,0.2760445885276991
0.1568341417229937,0.0868982975332706,0.3214668431664538
0.13751632014481577,0.08358798299833457,0.24760420618770612
0.14125300968412158,0.08140042433928579,0.26352138158359384
0.18937864838710675,0.08273006389320073,0.3173319537325585
0.17129486927448262,0.07101067346125885,0.35688978640128544
0.13990354048111828,0.09773769324455822,0.23318463985181886
0.20642232711648278,0.09121746173861506,0.3314449543176702
0.15640044136820475,0.0914642094134382,0.3224732849362596
0.21256544740141858,0.07976263932923007,0.4042397583474828
0.1380289500149467,0.10102066418250626,0.29559153170898717
0.1561489251605443,0.08837525038546105,0.30462658349420424
0.16644375700216116,0.08047774927408215,0.37014701041877063
0.1471479216064855,0.0865361899095243,0.3304431428879445
0.16987223122421852,0.0806073257812387,0.36353770418956205
0.12270720045461771,0.08593414850029327,0.21493814104292808
0.1487624006956625,0.08225802809098275,0.241697903609791
0.18457529718375287,0.0879888214152908,0.32509633372404606
0.15950201478291917,0.0745552481538379,0.30128034440584384
0.13523895812286774,0.08008407527204303,0.26847375069814583
0.2834686658212461,0.09255576100071562,0.3158160571496991
0.2324789002822603,0.09274526657374291,0.3943478162171525
0.16756775088108006,0.07804364553569326,0.327768720606755
0.24602174594840087,0.08538905153619879,0.3470396199030683
0.1477619396201383,0.08330396540332034,0.252458949212649
0.182746394407147,0.08949563773777104,0.2798023794553099
0.16497538713123264,0.08344768241139543,0.30887108766477056
0.1307238599765684,0.08365072910296989,0.2947680318672005
0.18936373868907286,0.08209213910362967,0.34442822698458336
0.15722057493368818,0.08037517777396586,0.3079323087738953
0.14955417278916838,0.0840141754974047,0.2829825884428278
0.19404539828582495,0.10289749844764469,0.3020634166368364
0.17026609672528242,0.07289206473113115,0.2687031748856513
0.1658442095917286,0.0778145018780912,0.34487254404932033
0.17110583673836033,0.09368703761482354,0.2771390234076217
0.13637912231640542,0.07454646708554387,0.29298184231280994
0.14757401189355598,0.07517650810089226,0.2888557714079205
0.2073384256064212,0.08441069837249315,0.36954562901526855
0.1321757758233975,0.08154614841143529,0.2640510970401282
0.18197337485905885,0.07628811145804025,0.2991486046375093
0.3447286724863211,0.08448966639806066,0.4779714878763013
0.16531860125705736,0.09259807518298702,0.3283687674518797
0.12606764925736558,0.09456758517979699,0.2743740750480947
0.11874006373922756,0.08105065297132333,0.2266146497401707
0.17354702815073286,0.0839573251219517,0.3112833367829571
0.18088544657540212,0.08930861981695053,0.3395483532427803
0.21885445940206852,0.08445919302034721,0.35578961960409106
0.20919349168189522,0.08168325461711107,0.36293589616445066
0.20546140217433964,0.08570935015384608,0.408443399146534
0.1592952944037097,0.08368154936521419,0.2440162884571788
0.2218792702183763,0.0854457264344159,0.40181269101243466
0.13278703726794172,0.0874513250752371,0.26909504562395986
0.18361366877840823,0.07982028758088916,0.31827514231709786
0.19899025868037792,0.08413439114893698,0.3471814176895687
0.29169730419430995,0.0783065950312868,0.40119395449327755
0.1301464079202815,0.09326732150873075,0.20591267185829273
0.21245119368105528,0.08812785593658833,0.3488485887281693
0.14547450850746194,0.07329292391273202,0.2822302509640535
0.1853806570067831,0.07825318120940558,0.34301855389694824
0.17214666049473867,0.08224650855328565,0.23329092639158583
0.15005323516403282,0.09835624028439074,0.32407533873311045
0.21263487650582177,0.09313264305337664,0.34013859577593464
0.18155533372039634,0.08776786325977903,0.30270590218596904
0.14901561841456545,0.09823492091281098,0.31765999118128874
0.12095238037234628,0.09008107129501361,0.19616804593286413
0.16113397678019536,0.08612034147122016,0.28169431267970335
0.15744856740259286,0.07900210287426288,0.27374723512962434
0.10715849725070711,0.08817281211062435,0.21140348364929604
0.1518733081247213,0.09901570712210107,0.3389225950638467
0.17076052344039439,0.08867799930194767,0.34211382617135977
0.13907014989582353,0.08805860136739702,0.23597320830433832
0.13820362294124164,0.07807826446702187,0.242687760769656
0.16944214807026298,0.073857605271599,0.2982456701947015
0.2031460672155807,0.08986877522866404,0.32219958193703274
0.1686808498838726,0.08760047400734142,0.3062265643211764
0.16080025754088856,0.08551938961936861,0.33727756721820196
0.13682703421373718,0.06371157199965131,0.24393170726341348
0.1608194832486818,0.09736695122740675,0.2690954359537458
0.21698291055484803,0.08224096492652046,0.3481249170530717
0.1513916936841298,0.08132106856012078,0.25074552504543063
0.17219260511663978,0.07405288621402414,0.3632450348079886
0.1563008557413524,0.0880153201425368,0.30662711101621387
0.15646128141833746,0.09056188018473307,0.31198617486602676
0.14070387517222635,0.08220764013989659,0.2561849193819439
0.14633899482266746,0.09803572065158694,0.34211951236973415
0.12272537643945704,0.06554280177930555,0.30235023502918623
0.2102811263573873,0.08888217171205344,0.3695797615135371
0.186895717669357,0.0847053694958943,0.2801064560128498
0.2039256387817669,0.08948740670184463,0.3697281208683632
0.21008013493872152,0.07763221739993283,0.37718552436710473
0.18889068698650335,0.0931173685070027,0.3243820365585289
0.1768621047442039,0.07194498979579,0.24447643149669657
0.19441236224087494,0.08318058039694337,0.34174919439753937
0.13924155448624262,0.07382998508921708,0.25395584066396515
0.20994562631073382,0.08907290218632202,0.28291606728491153
0.15380042698402846,0.09325259611701872,0.29257364331194513
0.1900711290263436,0.08914044261340118,0.3231467667320129
0.16859461463118186,0.08618314600539467,0.3223570408349235
0.21182270775753503,0.06766083117024349,0.3928647118442934
0.15316285918992878,0.08169501926571972,0.3094718800429056
0.17411856205621878,0.08271506944410961,0.3600838187734714
0.1591346027241815,0.10442559499407077,0.25446503275817167
0.12805184489121632,0.0924903264123443,0.2378461715933594
0.16932596365398836,0.08014140911646349,0.29165862945000876
0.16959355609140228,0.07317143288752558,0.33904226571016227
0.1595801677098413,0.0840862419261789,0.3042296869479143
0.16937307196406728,0.08902738674645366,0.3192457799074071
0.15693506012453662,0.0797633857469559,0.3359397726725234
0.17413514838256614,0.07333782982166456,0.3071982971729107
0.16559576440901827,0.08776742329694798,0.30499587921099913
0.17237775816629464,0.08400910468546849,0.3129833310887484
0.24874799261681418,0.0794376100292588,0.374788257413463
0.17731986798459204,0.0936095508970352,0.30720282074744587
0.1892400311699094,0.08946205422680942,0.3461501412349557
0.16485033168098884,0.09298870425395743,0.3394991047645799
0.1898923436136538,0.08377606339930016,0.3601384018454248
0.15242599839783522,0.08761651283924463,0.21651584897309406
0.1640209370693256,0.09447345761425657,0.25553543231769466
0.15669125114933385,0.07923760871604979,0.2807983882810947
0.21281636727817854,0.08131346114175989,0.3788022421643984
0.14411578115084073,0.08080644106804521,0.27923447166408516
0.18435316670527158,0.08986686657178697,0.33898208433451793
0.14607962011812015,0.08724254679558263,0.27984426810949564
0.12674505416612833,0.0872848817923383,0.2269737986389862
0.2020275141743781,0.0738485719740391,0.2876190255474988
0.1467412760053558,0.08197200403356722,0.26610351019811607
0.15362237283200503,0.07553762902985878,0.31391813258929846
