beta,gamma,rho
0.1794630223963743,0.0648992917783808,0.42095384731470303
0.15156122032157912,0.08211801942806714,0.3156574815922876
0.21423256853659167,0.062354458906136764,0.47451311940282254
0.18591597486703365,0.09612744626479972,0.23598654864239288
0.1898379970102872,0.07527564156814756,0.28086759710205705
0.2149156913141565,0.062062099156502654,0.3842714251801324
0.20973183823510116,0.10222658332425169,0.30646100502201784
0.12765727206456254,0.0676039969027703,0.21867566934675065
0.15202166053615657,0.05829201247483641,0.32128915675542774
0.16229197696790296,0.07478416330294338,0.3189509074674507
0.23641911827919554,0.1012175156197807,0.376887259530717
0.16773336971231628,0.0671508627107054,0.3379958490697057
0.16020759187355338,0.07577116645390163,0.32499816324402
0.17289458881337205,0.07048380981049077,0.42686018175695994
0.14118771143039138,0.09781265940551884,0.32061996343377336
0.1367855099597654,0.09832274933687023,0.2018434951718735
0.2093372030229218,0.0776632889744557,0.40030365483723707
0.2534912469289896,0.07522558739558997,0.4984324039583934
0.10167611096796397,0.0967461061241645,0.16149174828573543
0.2106933055561503,0.09033469940954547,0.38508929686889337
0.15183627348276058,0.07348709997736276,0.2902223325314845
0.1639488700905543,0.09210944227274728,0.39652087495691524
0.16186424122608872,0.06914892911321904,0.21581397837077124
0.19433103102053084,0.07715784544129205,0.2662724027246101
0.1710236331318969,0.11042771521593221,0.2998716614949074
0.1951861772560406,0.08273330337370363,0.3721782181806173
0.11170857099255907,0.07075722063086978,0.1855446676819785
0.11520745335529403,0.0800482869118971,0.10625260262736456
0.15278864765354258,0.06937959256224843,0.18716528305222432
0.20639678094495278,0.08834250297025252,0.39465111038689554
0.18747499341040347,0.06225526597448197,0.3458692430156865
0.20146893584345388,0.09059290914900966,0.31383489373296386
0.17702900311929148,0.08991627332989431,0.29976069937080985
0.17735637885253608,0.061702593839457615,0.22965641563514289
0.14710317470389236,0.0806712977229506,0.16673495411177194
0.10649297808230099,0.06838942191096893,0.19738367365094014
0.269873121459478,0.10518442904035882,0.37298779464924303
0.12514144793031406,0.09021093841428314,0.2812759726216328
0.1606031501594566,0.08264685198951541,0.26668279716917215
0.16113787371889796,0.0904825858003654,0.23028656392289612
0.17488903199772726,0.09182026794321523,0.2935014103137628
0.23141656170822444,0.0959866462546644,0.38972703009037757
0.15866288765555825,0.08874888482130244,0.3153507862426488
0.19502906824969035,0.10613662753639445,0.3567352595533566
0.17539182015988336,0.07922851928815147,0.3862937801389003
0.1513786013567751,0.0782816470567798,0.23597868236903513
0.18368799323305485,0.08108602838668102,0.3286277321906571
0.12809215311527478,0.09690994030821237,0.25864319034184746
0.15986575489265756,0.09025853405319473,0.3364397708037773
0.16964493328224733,0.0739240450450306,0.46318795948423325
0.11863047587148615,0.07516065273613261,0.07459620410458916
0.20770817721398416,0.0964050866890952,0.35074551583793956
0.17142399480293402,0.08071981030021598,0.3094244715841315
0.12884578797447965,0.05945561600913567,0.2291766608381555
0.16862039107229798,0.09390823396224926,0.25284052893756126
0.20113519382315875,0.06508410011637349,0.3884694445377903
0.18763059250694492,0.0938350032349573,0.36888675668139403
0.1300802137481646,0.07626736176903659,0.24215259687062637
0.19191168182420298,0.07755980983102499,0.24567787250168627
0.17885307158877167,0.08696185245559716,0.3243151873784702
0.13855342884181046,0.0892185221136696,0.23976180039190575
0.1676928706639959,0.0871114184022477,0.27093865161533087
0.1686598350007567,0.08603994937454353,0.3988924512687324
0.16456761159633798,0.07319132977778713,0.3145493018840247
0.14407779080010352,0.10644455455176119,0.27730624892162686
0.14902854271396193,0.072871446720502,0.2450664020122904
0.2342183938635684,0.07249478084703004,0.43061325285918706
0.12379216695683383,0.09575078026472215,0.13027542391459299
0.2564731095147444,0.10139765369574238,0.4378697013716015
0.21919203393425007,0.07791205823786408,0.43534397068604724
0.22737107675964857,0.10906434159928863,0.24629264217734834
0.1914711683588673,0.07950037234414993,0.3541419739200884
0.15669381090709525,0.10437228716778918,0.27845937081159383
0.23224281053251766,0.10959567610654145,0.3339552850864886
0.17651312091921295,0.09578639138947033,0.29520186371028906
0.22155050464865883,0.06705702743775212,0.5340287686926317
0.12276643847972822,0.09425110646292403,0.3115734015840218
0.14877609882502923,0.08632091070484947,0.2742068974205642
0.13872545681651938,0.08763316523138927,0.24154889623514875
0.1997091170396455,0.0888881741184839,0.2544801309383902
0.23851128669781735,0.09188899747370152,0.378149911198036
0.19459431566489788,0.07182619160848672,0.4077171958721131
0.20577337512184912,0.09156772789187491,0.4446558444448827
0.20062299899967695,0.079035678814134,0.4379991915298028
0.17671985576076832,0.08899509692026189,0.39756043340317354
0.11977449430115868,0.1107034325768435,0.24355122061822254
0.22478603865295627,0.0915413306424137,0.3625833245998604
0.17940493734600793,0.07100593619462334,0.24607212833411252
0.15371658882471906,0.09552284589741032,0.15534754817928828
0.201646938763273,0.08539770843125062,0.424578709529466
0.18441027888391281,0.06486477469228108,0.3308444276923124
0.1930875964381502,0.07499119575927364,0.3115702828596645
0.14577564606737764,0.0818464679513563,0.14117382873080714
0.17465225307510907,0.09142384995090459,0.36926040949175376
0.1755080313918554,0.09276067577966653,0.3611299528093911
0.2223015595330592,0.09685911853066408,0.3436806422836689
0.1899607640397431,0.13885254572525602,0.22736947566742513
0.1527871486615089,0.06483917761299667,0.2196548037671617
0.2305935195789522,0.0743735241712933,0.35789517767130896
0.21532705401997715,0.07785352511778673,0.4055922559627157
0.15498271552337936,0.07139439755483085,0.33895760947714826
0.17490456722775544,0.06930271016988451,0.3177901408409003
0.13166754189641183,0.07994234104735745,0.19403782430867747
0.0961275747222263,0.08993388338925083,0.08913629689311914
0.1267977686394514,0.11400476543109596,0.22490309073187947
0.21311425737077277,0.07732565017340687,0.37666383300348444
0.3129128123836474,0.08912585805628208,0.5268289418786316
0.131322839041071,0.0992560503254916,0.20108627288214898
0.21236653877024098,0.08049930040629255,0.2751176850359932
0.1341928695708219,0.11036701252991107,0.23582252772907958
0.14876400964966602,0.07342898514967536,0.44953029158716307
0.17656483325792044,0.07955314384019715,0.27354936021120174
0.17083527386110375,0.08987978099881189,0.1784510354001946
0.11312053882223713,0.0774101454265082,0.26652424576208417
0.12945942693447685,0.10344969196791735,0.1809838025561958
0.16427703815258515,0.0862671654177594,0.17736201298112064
0.15357669176929445,0.06744421792124526,0.3687857978361997
0.1762345167258334,0.10939502778463572,0.2639431988474445
0.29035449653601086,0.0723099432762457,0.5610724280006898
0.1719775503432517,0.07530707683039121,0.3689819474203712
0.1573580825844459,0.11773450953206137,0.21061454827584153
0.207307402065881,0.0756822435588708,0.3809649089706227
0.15961518359110682,0.06320632168867399,0.37182861828211805
0.27521242831606324,0.08484512540573488,0.4768033841283201
0.18220188659487552,0.06978439405446113,0.4841559895887082
0.12918701339743255,0.09754558530025267,0.1142577110048813
0.22978661099067016,0.10395949281490818,0.4816514211890396
0.16605505287095598,0.10983874642361885,0.28459840479213083
0.22703685214006397,0.09987659579468586,0.47695758791290344
0.10717589683436064,0.09769239793758945,0.12097425432046843
0.1596162963893745,0.10124776759704873,0.42347044494769764
0.12015074362108125,0.09171597515336752,0.13605798818858572
0.1070421992985687,0.08249518266935661,0.14195516166767305
0.12649368855052134,0.07968030947300572,0.2691291855215185
0.2212408489004234,0.10576984951938839,0.43893570972237805
0.14437184308857864,0.08943138841615166,0.35393500558501484
0.10485099991931837,0.09625217848509238,0.12274237237418194
0.17286130449521692,0.07989389176877609,0.5390947223661539
0.16847694796017504,0.08292670808614098,0.37318703110064516
0.15937978857860502,0.07600794824680161,0.3157163276550054
0.1887871361280618,0.07325559989084071,0.26564825849682594
0.12776499527559335,0.0659482314578328,0.1829328319739509
0.1831846278509674,0.09613619246920863,0.3013724120773653
0.19285481248940034,0.07673764887181501,0.5444762171432446
0.22774970049265475,0.09989868756349034,0.3101806181361017
0.19092163129052464,0.07310947711363193,0.15466963265799738
