beta,gamma,rho
0.12189354067055584,0.09861795429436884,0.17813062539407298
0.13848075241369678,0.06919364537733569,0.2778535653285686
0.10549780518862009,0.0882725039430001,0.1606637410607742
0.15954544398306908,0.07608766902245594,0.4046380661274028
0.16551843828983975,0.10615479979173896,0.27368274980701346
0.16456761159633798,0.07319132977778713,0.3145493018840247
0.1093652201200062,0.09217034293183224,0.10247411144492889
0.2118829610719713,0.10163898710284451,0.21590842713378633
0.17940493734600793,0.07100593619462334,0.24607212833411252
0.09917722694864711,0.0855847938984827,0.2283973518651946
0.14969785158591895,0.07331432206713599,0.12052154523295347
0.21459865536605094,0.07767123666867083,0.40330734455821804
0.17146097739770072,0.09182296854818846,0.3532594359219027
0.1376243518511846,0.06543953018040755,0.2992158128907919
0.13837611043944628,0.09148361936947799,0.28307464882877015
0.15945610222455786,0.08984894010992947,0.334846617696818
0.13698987322706824,0.0950518608051281,0.24204010791529892
0.1596162963893745,0.10124776759704873,0.42347044494769764
0.12809215311527478,0.09690994030821237,0.25864319034184746
0.18122616145170312,0.102562129158533,0.3565612050729412
0.10188313546159655,0.08941952036169092,0.18429578181860962
0.16036198951280942,0.056448705685251205,0.33479581118461427
0.11520745335529403,0.0800482869118971,0.10625260262736456
0.1987851502071048,0.06455587050172189,0.2538472659687114
0.2002980564802842,0.12471254483735507,0.3093541107973925
0.17341686883739327,0.11513156397504418,0.3358973812156314
0.13718475201063793,0.09941494577399398,0.1192819516641043
0.1676928706639959,0.0871114184022477,0.27093865161533087
0.11693918004585487,0.06379971536094795,0.23796953666404833
0.16078117545249648,0.08088687867033595,0.2139903892652784
0.11863047587148615,0.07516065273613261,0.07459620410458916
0.17965746996678778,0.09420929978735482,0.36927128045221896
0.21937040224272109,0.08548143898913386,0.2886328897268315
0.1104484941809325,0.06964285043785272,0.24756350879370084
0.15691701861668927,0.1177695242305596,0.18977344839058521
0.15961518359110682,0.06320632168867399,0.37182861828211805
0.22123174459152034,0.07032149222222257,0.5633764427743323
0.18591597486703365,0.09612744626479972,0.23598654864239288
0.1986386235035466,0.06492571102809,0.2871226778715687
0.15223688541567887,0.07631338898270079,0.3579253617735626
0.1885497732261796,0.08260164100525409,0.33458047337878344
0.2564731095147444,0.10139765369574238,0.4378697013716015
0.14321460386301055,0.10090277494866576,0.25097318282780096
0.18758991290442334,0.08221107771520518,0.43636016280839096
0.18747499341040347,0.06225526597448197,0.3458692430156865
0.14545629378997665,0.12059352287613549,0.24794449093721013
0.1709926422705742,0.08729237828959478,0.34935131287267795
0.20113519382315875,0.06508410011637349,0.3884694445377903
0.22006959917159102,0.06397095197886855,0.3742974391588839
0.24196793548782813,0.09124881669222659,0.4695692968991913
0.19141643998821622,0.07544374406214134,0.325658368207845
0.1632821233017387,0.05520775981136798,0.34253368549319463
0.16946928649986814,0.0912474409382665,0.315932175957931
0.17247797368806414,0.08479910150828696,0.28795617144363705
0.2523445666803679,0.07372276644147506,0.4615595278907998
0.16814074595625406,0.07439886382995357,0.2426906370665936
0.15669381090709525,0.10437228716778918,0.27845937081159383
0.19175020309719515,0.1095697838989074,0.30667624906357444
0.1523017942291916,0.10581346677039602,0.187455011198609
0.2482777523364907,0.09195934266603281,0.4437861039410764
0.1729222784281185,0.07955455852149688,0.2413104118629601
0.16386928119180352,0.07076361839551316,0.32099820275303714
0.14052774211848262,0.06556043027966448,0.20184186452518205
0.17574623111116444,0.07856948474817785,0.2541769164006727
0.15156122032157912,0.08211801942806714,0.3156574815922876
0.18378248566915834,0.07673662844495707,0.3865299049358399
0.1367799365431573,0.08359523214947287,0.1960650135110365
0.19267037995181752,0.09712967925677335,0.3844233589602313
0.21605526034062789,0.09916832617183458,0.41587093911621564
0.14930707736893967,0.06665102177108041,0.25246215291016066
0.2028651329698828,0.07382270781404586,0.5003388373548451
0.15655314072305263,0.07368644265414054,0.23651710073106091
0.13611135032424496,0.11126233473783843,0.2372726788516534
0.16035590239552594,0.08889992195898958,0.2996478028785332
0.1945080465224916,0.08760397206034864,0.3215788941096248
0.11863968227264046,0.06993603615749919,0.2339109402194536
0.25318918173494903,0.08518895528777434,0.5140227005055302
0.2253151479515974,0.07153773429210998,0.4721584056625207
0.2378865086490834,0.08549654082476776,0.5711284913035084
0.24582709672926223,0.08052893669866948,0.5128731178618041
0.23224281053251766,0.10959567610654145,0.3339552850864886
0.18910549796329845,0.07043143892800706,0.37309283757850936
0.088672328853664,0.08683085982636744,0.12072541963469022
0.3129128123836474,0.08912585805628208,0.5268289418786316
0.23114811281686254,0.07230802924906542,0.4306485790672341
0.17494616023499027,0.08099672073487359,0.1887765760929363
0.12907041787308965,0.07882172166228424,0.3471180936859177
0.17410367978118307,0.12499007720773635,0.28306530077624464
0.2066100038559277,0.08434778248572947,0.3715267360979804
0.11707434819690753,0.0972815128432924,0.15876613687017935
0.11232844767497324,0.09103993557035853,0.1982774338007065
0.29035449653601086,0.0723099432762457,0.5610724280006898
0.16118962638573409,0.08366604026969941,0.41794011458832625
0.1696100048499683,0.07484719847010855,0.2699229335624807
0.1218797104255048,0.06820443863079693,0.23081523124121991
0.1603981514035157,0.09052272538210653,0.17489076184385546
0.1539535808151547,0.10323710645083552,0.15621488532449482
0.21759617488827865,0.07569928182223998,0.47233571170613325
0.14966320428808325,0.06539862626839575,0.2674911951468861
0.11700922881958253,0.10099782991961577,0.19018776847085395
0.22451986616529895,0.0777817231126668,0.44571722845117434
0.14139926577207607,0.08776193920335142,0.1791562239936984
0.13632769119960542,0.09231719766421399,0.20090779186381458
0.2680713520058131,0.06607631556444242,0.5647719199433395
0.17656483325792044,0.07955314384019715,0.27354936021120174
0.13196632073817477,0.08967381566122415,0.15050235064334078
0.15035232795267411,0.06288707630783393,0.3964412221299729
0.15837825262039823,0.08786587022836617,0.2696961510818377
0.12736428765717048,0.09326817301716307,0.2004521956913357
0.2599107856617809,0.06674290108237504,0.43937799828672724
0.15219341904088407,0.09725684583055441,0.23506436473709771
0.17663552192870574,0.10894162461412973,0.2313865148192189
0.26837188359630265,0.0911746282826646,0.30124428581791096
0.14877609882502923,0.08632091070484947,0.2742068974205642
0.1235857524193846,0.09851046491876499,0.21838032470506832
0.15563478327393326,0.08853898838488473,0.3179660997403728
0.1617229830089711,0.059059442690860386,0.4331480907528882
0.1614581925030068,0.07930422510849088,0.2081187439697989
0.19977922191077918,0.08009493050066654,0.4198433456156505
0.23275755363092637,0.0700393035510533,0.36486172137913897
0.14072632401059926,0.07165835980611174,0.14327854579204855
0.2163525012178409,0.09604102379856388,0.3725346550093955
0.1842136333190521,0.09210114276178961,0.4103196518262225
0.17089025268777963,0.08851261574837739,0.3743065619524861
0.16987266116976832,0.061444775470715446,0.2422934496376546
0.16090440059146344,0.08804983753947943,0.3564651663680654
0.16688455689168413,0.07864895286192593,0.3013496916890992
0.2360473563570158,0.07029212595217325,0.48543770268221387
0.2146455897266512,0.0924126649614425,0.39200906823786696
0.19840139313951977,0.06348062143924224,0.36009607310875885
0.18992157353907196,0.07417424278930486,0.5226597624157417
0.17952866385161625,0.07822215202924612,0.31830190701102307
0.13060564643884034,0.08278228047707786,0.23374076907692132
0.15057326688728004,0.06025334237471544,0.2971651746902792
0.2450476128921253,0.0695689412037699,0.3730329679507145
0.20036676955581212,0.07671248452553449,0.31090731492466284
0.147037186299552,0.10106320808280149,0.2545007984381688
0.13294829325995297,0.0829808682513228,0.18211350680825814
0.10167611096796397,0.0967461061241645,0.16149174828573543
0.18890499133594424,0.10962517948732922,0.2609921103710092
0.1654525146422692,0.08578823925140464,0.3040474654609055
0.13515846868734252,0.07813894641089626,0.25615213042246515
0.1316708012352914,0.09191712086015322,0.23111516074103813
0.14669791068051535,0.0747231135251926,0.3867810347428714
0.13227419547704178,0.1019533740334922,0.3076322769835009
0.18220188659487552,0.06978439405446113,0.4841559895887082
0.13855342884181046,0.0892185221136696,0.23976180039190575
0.21532705401997715,0.07785352511778673,0.4055922559627157
0.09919580218705024,0.07915486721648603,0.20527849592211958
0.21423256853659167,0.062354458906136764,0.47451311940282254
0.18561717885552897,0.10558219947708798,0.420536534039681
0.14571404234605617,0.0666347202866813,0.258893334209834
0.1083844447804663,0.09458391924270257,0.15877094676792805
0.11896100335276726,0.08762606124683976,0.11795099458360517
0.15183627348276058,0.07348709997736276,0.2902223325314845
0.14656623356422688,0.08765281126768516,0.215655869675087
0.24822579704090553,0.08669341284124685,0.39988162404428884
0.13368522957525225,0.07176057066751938,0.27462652468212667
0.1292641837611378,0.06966583668957685,0.35967668233186817
0.2158147228504555,0.08188065422048049,0.39644361559200836
0.11977449430115868,0.1107034325768435,0.24355122061822254
0.12276643847972822,0.09425110646292403,0.3115734015840218
0.16362181275398713,0.07642168924804812,0.21059531555930056
0.15854845493992517,0.0871600252710671,0.21455158011632902
0.15953847143899313,0.1189166615035929,0.26128579639851734
0.149328926185043,0.09296212993808325,0.23397793564370675
0.1573580825844459,0.11773450953206137,0.21061454827584153
0.22162771074422716,0.07669911739290883,0.49691880756077034
0.16229197696790296,0.07478416330294338,0.3189509074674507
0.17119326918489086,0.06063032478090287,0.3651204984792741
0.12767187566248606,0.09374862758674726,0.28710134035885
