beta,gamma,rho
0.237013434976322,0.08409882465869205,0.5055671779594599
0.2149707091798905,0.09980001084489529,0.24412992984587867
0.11478049518443963,0.08494260660774312,0.21836638793559676
0.18808841419208264,0.09368602608227565,0.2740537765209585
0.25330153340222084,0.06860796527861747,0.5048519254056031
0.25330153340222084,0.06860796527861747,0.5048519254056031
0.16014696265196648,0.08253864923904207,0.25316291379668976
0.1351697937328135,0.08860800935439976,0.2577176159069368
0.135295401543708,0.071697461832416,0.31496198183916396
0.14863779811101283,0.06458413107446345,0.3498647520556595
0.16590477066724588,0.11106143604440162,0.2108948614681599
0.19856953340145805,0.07799708904586966,0.3912318974782022
0.14765134257706325,0.09533910918529209,0.2390023650068928
0.17442780231077104,0.09033050680161284,0.3088038776802477
0.1518417085931122,0.0733501813321733,0.32017607260027053
0.13626173288250032,0.08343211583554054,0.17027766079938111
0.11149883299220151,0.06962864261304881,0.28610846209523555
0.2097945127232126,0.09152078100194311,0.3672160677717743
0.1478076663616249,0.07454194889359177,0.3586936675270296
0.18464598608382926,0.0920943687651229,0.27496827394006995
0.24534648616388227,0.0783028172822088,0.4533411993248676
0.16691638973385903,0.09697262938043598,0.261437773538499
0.1322093179446619,0.06898818811754956,0.2733774330295793
0.24623365232293024,0.07467394882908604,0.3634886561372659
0.24623365232293024,0.07467394882908604,0.3634886561372659
0.1903250436761041,0.07696254572255984,0.3894294226578903
0.14548723059452173,0.09391979175807252,0.24499121401348956
0.12104240417582685,0.07080568545780686,0.251849340960106
0.14917118476341434,0.08565169051661513,0.24397862044498073
0.227875376384172,0.09069130364489583,0.3870857326909831
0.17230605603296079,0.0801033103291349,0.268540163581329
0.13381354422337333,0.10175337611547514,0.19265498323772112
0.14503745070531684,0.10166811644793847,0.15863029242719143
0.16608348666234207,0.08092156122611135,0.3601058056603354
0.19812173906906544,0.10994899788970541,0.16258540959805987
0.19812173906906544,0.10994899788970541,0.16258540959805987
0.19812173906906544,0.10994899788970541,0.16258540959805987
0.12549262786485466,0.106165495294118,0.2052668990197306
0.18758392052811995,0.07768970798110533,0.34706646730896795
0.13192277458610877,0.07910425400858985,0.23142442556135354
0.19247235638227614,0.06574544286835232,0.3741210912926001
0.12917945747249543,0.1098307685783554,0.21694145675103235
0.12917945747249543,0.1098307685783554,0.21694145675103235
0.190301435708884,0.0986418242918397,0.18601413512430334
0.190301435708884,0.0986418242918397,0.18601413512430334
0.1749708252603082,0.07266169102320559,0.43695263025129244
0.19814831291669305,0.0851996600443874,0.3341622789791865
0.145949830346817,0.0993337621860915,0.22384060656671342
0.16878127051993277,0.08361516320739587,0.33696651288119894
0.17993118878699527,0.062092737238088606,0.3274062854823699
0.196924728388073,0.09056926215379477,0.3564737506279677
0.15736551483051098,0.07381355980102955,0.228014490631746
0.21476996087253114,0.08853944070025979,0.4098700817186588
0.1676811314343714,0.06627335209932464,0.3471312631287815
0.11226651224247802,0.07277153985959582,0.269581358070907
0.13642522682527727,0.09190271377107961,0.2421779611558064
0.12229815792022025,0.07023709772230505,0.16278213739110184
0.14026488937686638,0.09520536834775667,0.2930086396701718
0.16004713440880122,0.07257401238292178,0.25715018120785893
0.1644147822846066,0.08521655949757229,0.2853459106817288
0.14100903312555865,0.0689800522622984,0.2473488526299052
0.18965355899880504,0.07743131968763561,0.5088044502084181
0.2172244622360242,0.08049763561926496,0.3814573308845891
0.26213283902017015,0.08219590792339117,0.4149896330083904
0.1963898009414082,0.06873742082208817,0.2889557267238577
0.1480792889491479,0.09201817577922437,0.22836432262495138
0.19466638896076918,0.07960880095692667,0.2948342124059765
0.14887027437456202,0.08405264370107914,0.21699440676630577
0.16948646299994816,0.07852748287152743,0.3946196216018074
0.21083268152023132,0.10671729813013736,0.3435255861230791
0.1326041886832722,0.11297100276342123,0.29028842619278017
0.1326041886832722,0.11297100276342123,0.29028842619278017
0.18924203074390716,0.09711174345637155,0.32617111318246605
0.16013490991433066,0.08115633817923124,0.2208191275250295
0.18567857928984274,0.08347986191269371,0.37247607258201576
0.16363639786219747,0.07785575031716915,0.17138812590408126
0.10791659722770575,0.09226682443090092,0.18188537365470878
0.12762152900957557,0.09562147344416035,0.22563462451624086
0.24328925922346756,0.07927149058321117,0.4659305178448879
0.1473622125047236,0.07918249704049841,0.14999540652800258
0.2010539405236053,0.06852818573208146,0.3867024555696289
0.21878032420582494,0.10474096056587266,0.2846682295746462
0.20265452532063757,0.07692572268798074,0.470130699763432
0.14618342325332606,0.06645718393835867,0.31840334912822876
0.12532659948362687,0.08479097558814246,0.12817149572351688
0.18649002450388774,0.09233575104949474,0.412177265183185
0.1550295900180314,0.07654952957240423,0.2600585313385717
0.1651379578412513,0.08032451388316024,0.263129459863353
0.16360027555856566,0.07311485237352017,0.25635819749825495
0.10935939561897025,0.08671490864811786,0.25338466971433704
0.15435284040318992,0.08062592680872839,0.23862792141978928
0.2199668134957728,0.09197656680663675,0.43345252313657023
0.13807931068541676,0.06429478426694604,0.24224110878234814
0.13807931068541676,0.06429478426694604,0.24224110878234814
0.1329481293740756,0.10776261410783698,0.23146208580560065
0.1329481293740756,0.10776261410783698,0.23146208580560065
0.14401419798171772,0.0956089432814268,0.21823776566804604
0.19856908308346627,0.07624813855524765,0.4388346523878822
0.145572766090505,0.07476295671633025,0.32712639903388463
0.1345627320748633,0.08079484792176117,0.17943165723308593
0.17600828041181554,0.09753888732186519,0.26545754264836136
0.13514935268491854,0.09586458203546849,0.24673338952085125
0.17696030195198814,0.08977188160661066,0.2829562471456637
0.17107021643240017,0.10273572138341223,0.33532679589313796
0.16750169376063923,0.06703143248487932,0.2743833364454252
0.19465330153700658,0.0710104568820826,0.4416089194127282
0.1487428748441322,0.07863431045140945,0.3024922019897166
0.116091815863619,0.11156154495320511,0.08869852029071007
0.116091815863619,0.11156154495320511,0.08869852029071007
0.1761868497466581,0.06862386530592955,0.28777531015483476
0.09257827901221403,0.07217187721387754,0.1426284933748338
0.20734433886822956,0.09565577053111773,0.39454420263683004
0.19420448637211327,0.0790756285410241,0.40603962809272515
0.2124090566432805,0.0713703753775555,0.358846477609942
0.21652024594390473,0.10123311496629936,0.33568012474440767
0.19465614697137162,0.06955835222295458,0.515245236454799
0.19664045452765444,0.08765615610994547,0.38332250103326515
0.1969597022391959,0.08637975209173716,0.24682948130309101
0.15963624905346951,0.10127396707922773,0.3759973747369851
0.18230289437153824,0.1189842837541404,0.2309649662114798
0.18230289437153824,0.1189842837541404,0.2309649662114798
0.17590465661523233,0.07722625437840766,0.2305950477850108
0.222055264976141,0.08825388643747917,0.48330251767917143
0.17847505910869182,0.10632378907717502,0.26061486752133634
0.18170576360180135,0.1039506028343245,0.35749495738383275
0.20026193143602433,0.08938347410096671,0.4439975150194642
0.17838893405540185,0.07571103233557934,0.396894569601706
0.2210288237559955,0.07120222451226549,0.4331127113106198
0.19291721542114712,0.08771267277753382,0.4100980886333251
0.13293250100992418,0.08095330422777125,0.29947711765636814
0.15609897577330906,0.08690404709783336,0.21943547378804265
0.1283874205876338,0.07476998766990782,0.24467526994153
0.1699101239434845,0.10151661919229951,0.2724522821803814
0.16951835713766364,0.06041048607526791,0.2854761360698196
0.2055197000784204,0.0811332560338068,0.29610382938795926
0.18887172086477327,0.07397516685469234,0.21601628569678072
0.1294334842048609,0.08852776301393539,0.25667643302129967
0.2214996326771302,0.08041978334702672,0.43123212616665374
0.22366832656281532,0.08644241395479882,0.411750486465535
0.13632433635913033,0.09772907741647799,0.32511370067432427
0.16249133273720864,0.08524396291058492,0.38543275546976585
0.19216918643412537,0.10872649849069443,0.2504882450323923
0.20712498170226945,0.07747714819974248,0.27589839172705555
0.1434734915874457,0.09583906824622077,0.2320059784529871
0.12541858147771395,0.09064844358578047,0.20947595921212225
0.16894152854957165,0.06838010909258059,0.31222243015623546
0.1365890491633455,0.09106421697298388,0.12708416717140414
0.2143629839459148,0.07666484723118523,0.38213197445609054
0.13167835778133957,0.08383269517781819,0.3119276028361133
0.1621306273424017,0.07332214545874473,0.37165409058111976
0.15254502198448378,0.06116310413341828,0.1978992288647039
0.13070811471329813,0.08746419223481386,0.10032778534426015
0.17362511215825424,0.09477576465595072,0.3308412030515366
0.22141827754741522,0.10427338078460154,0.3815101887758363
0.2004407927546233,0.10425638647022573,0.4289200929684377
0.14077573949681713,0.06416994477593363,0.30117409245216653
0.14077573949681713,0.06416994477593363,0.30117409245216653
0.1664013552249538,0.08789692085045417,0.3904365143213506
0.1283359949423933,0.09709604532219296,0.19300295987447005
0.17208407683621835,0.08879926533756011,0.29281245805834993
0.1194928773729552,0.08425488308780037,0.0828360874060407
0.2317268232200343,0.09151623708216351,0.37765122190696937
0.18169330029730102,0.07771731199937681,0.33707905459908977
0.137628452444709,0.06776522433697423,0.15940351725711707
0.16148167713161216,0.07482157980380913,0.4512518710181702
0.16148167713161216,0.07482157980380913,0.4512518710181702
0.13169684470678947,0.07828293110866345,0.22808718803267186
0.19521448375708308,0.07557032860351315,0.3311365806469035
0.14632362869417456,0.07263363947941275,0.17668427178193305
0.15924502911277955,0.07404274912097603,0.22536444376877723
0.20599848260352227,0.06381933046233883,0.4262970367546689
0.1623529170562836,0.08167673990615669,0.25986512942878204
0.186102851204379,0.06232982111291567,0.3472002126252021
0.2220888724007716,0.07175157639809462,0.42762005469091957
0.18422867995942666,0.09744065582501718,0.4535581339332979
0.1399489395551538,0.09976885774652912,0.235814820783871
0.14124428626509958,0.09870172450952935,0.2369860946675969
0.1729884905074893,0.06962946378421483,0.4120427342457823
0.21251370513972453,0.07065848781030962,0.48212311277309267
0.16931170470594878,0.09539755063216518,0.30880615202699857
0.11986087500413324,0.08446062000807086,0.1277903181081142
0.21410260702114078,0.07689359194544286,0.5172163081576994
0.19559828257026673,0.06466193865849944,0.4279157698229936
0.18162381205072314,0.08267261571937935,0.41783639005546747
0.15517688237876417,0.08877387571458456,0.29229232800680205
0.0883929620120468,0.06914398970552113,0.07871545728209539
0.0883929620120468,0.06914398970552113,0.07871545728209539
0.18213514695092908,0.0689435159435531,0.3571956935471041
0.1646778317835847,0.08417429671105664,0.17504862446256264
0.17184826929622302,0.09305957455311635,0.3939435406511605
0.22237176556968186,0.0923480036574618,0.39330887415853644
0.18423397271112318,0.06898468597839606,0.35488371838704197
0.269585721500969,0.09554735153038463,0.410571840230751
0.269585721500969,0.09554735153038463,0.410571840230751
0.18322115678980289,0.09612999490750435,0.28884703466957345
0.18800303286329176,0.08079320492638048,0.2946651642609786
0.19603015100269913,0.09031368438895397,0.3066672378575673
0.14590769732285436,0.07523580875766475,0.1301395312584889
0.14998462893765657,0.07689221048855725,0.18028100033017092
0.16812644984493869,0.07388154992566662,0.2944460703783064
0.09373715488452533,0.07278710603313095,0.095648111066746
0.21691230436942138,0.07819439516787315,0.4500963200743673
0.2346980393273135,0.10441110275629778,0.5157687086451559
0.2346980393273135,0.10441110275629778,0.5157687086451559
0.15401290648034185,0.07510746161925873,0.17547162037691913
0.11128776732212903,0.07302368372407515,0.19084550351796453
0.16918639462935675,0.08215199502443876,0.3142672869641975
0.16852266114029318,0.09043967894937657,0.25896267327065015
0.18709544038194037,0.08749597369259442,0.25122789611341156
0.1299613062102487,0.10403848325397566,0.29260691690681145
0.1299613062102487,0.10403848325397566,0.29260691690681145
0.1439119147528575,0.08237613365083953,0.2952437526470344
0.22831550549547444,0.08479075312985024,0.4989428458614877
0.15899788321588648,0.10816573478598453,0.2623005140397839
0.15899788321588648,0.10816573478598453,0.2623005140397839
0.1819632055207119,0.061736023314014954,0.3705957667055388
0.20134586089356854,0.07662234336471845,0.49254886640977463
0.20572061563576804,0.08263749343446636,0.4962641844115072
0.2107218837900567,0.08735425071304044,0.42642662519974717
0.16770616606800387,0.06787486742188675,0.142000883907002
0.16770616606800387,0.06787486742188675,0.142000883907002
0.1482056286326772,0.09654910426236886,0.2956133321697239
0.1955834590817233,0.08570702612567781,0.3314848331604894
0.1426046202629212,0.08871104775174712,0.19066229494930403
0.21514104647480337,0.07311442501474966,0.48055358042761653
0.20677685334554732,0.08062695403137218,0.32910926082134007
0.13210853406823655,0.08438493571756672,0.2851480257606611
0.20870462888434585,0.07026591976348,0.42294440406962625
0.16286857643908575,0.09874030281518963,0.25106722970029394
0.18477976882672875,0.0648428604954772,0.3855789545598693
0.22382432078944325,0.0747195962178468,0.3853387881684704
0.1793126413075152,0.08879219553084614,0.3746120456702914
0.17064754270596613,0.06726010742911903,0.3987539627676574
0.10866806711333041,0.07645845823679058,0.2888163761775952
0.1745654469939327,0.09591201938715312,0.27633087388321553
0.1635743424453515,0.0698859845806917,0.3621662088554404
0.14466500349143513,0.09357800576466176,0.17627603802732633
0.1335113651483611,0.07739280032234151,0.3450174589979498
0.11782004237034033,0.0767293745665051,0.31852676970880545
0.16931629078779348,0.0772705655114484,0.4218390336829523
0.16931629078779348,0.0772705655114484,0.4218390336829523
0.1945232785949045,0.09445556414283374,0.33696769271507004
0.18977844284355316,0.09300356974670491,0.41172195359152663
0.22254155700960673,0.077024244039634,0.3374897452820237
0.22137761133076322,0.10240751104946641,0.2596016007451073
0.22137761133076322,0.10240751104946641,0.2596016007451073
0.18376573099686624,0.09971865997589079,0.19906087032376574
