beta,gamma,rho,weight
0.12599965556521076,0.08013840378500152,0.3276232954116619,0.004261670836973165
0.1882919197967948,0.06896508200404824,0.40089991594836816,0.0029955197303282006
0.1580341452506373,0.07347034893185916,0.3464403123347712,0.002922539533943353
0.1586113255532354,0.08738678198773203,0.13554429359313874,0.0035596362929731706
0.153307569887268,0.06576300921374206,0.2755229315925014,0.003027205218343132
0.17782702391736716,0.08462405053067776,0.30451385292104605,0.002347084405578702
0.16843675724543988,0.08768634694841057,0.32933421870345697,0.0024712683804369415
0.18239124473552204,0.08265453663452522,0.39240792570058697,0.002717582668316346
0.1667855192325841,0.08329057855778575,0.25738430313007293,0.0023982637156696554
0.20221223911140895,0.06819767097992374,0.4531692340610039,0.0034079238349377533
0.17080700625338505,0.09668899443913291,0.13537578516822632,0.004129833127551592
0.16946620854459765,0.10596160901043943,0.3968099799587572,0.004472614872671182
0.206871177426938,0.08347745440879292,0.3326866089550689,0.0026637917650567692
0.1778551541102559,0.06585336583166809,0.3838730573122559,0.0031550686272890814
0.22748306555964337,0.08479449353879048,0.40370616829344586,0.002954278959532088
0.19251477362626543,0.08439173648491279,0.2787885901225361,0.002643847261687348
0.21307721635216031,0.06747329191284578,0.4643939467449754,0.003503960714036621
0.15913665107264938,0.08497295034079781,0.14139366388277105,0.0035136933740874967
0.19069917793898478,0.07455059398051948,0.3118645169553125,0.0026601631526585925
0.19320491286205796,0.11192551578796524,0.3082224418898121,0.003387441187773309
0.18443773208467695,0.06530864671105045,0.2613840064519837,0.0035652473609956783
0.14383903839669113,0.0770199387090753,0.2443793720719882,0.0026096250387098448
0.1879115019346976,0.09668137754500562,0.3322436388901305,0.0025425234180380075
0.16943238952317996,0.062093881479408426,0.4376613726866987,0.004636412914883238
0.1535233415623199,0.08690675660479544,0.3367191504558669,0.002877009531485653
0.2296734965880547,0.09193191863865213,0.29633813445813784,0.004184390400250728
0.13688544904710448,0.09970643100346648,0.22646833672209934,0.002869809397662154
0.12347380360870439,0.07217939963428965,0.16055889871633444,0.0033024601456061705
0.13205733138477327,0.06821601685432752,0.18107289675640142,0.003353696034087431
0.12575092026557916,0.07122267267722954,0.13310564972878194,0.003649100189119023
0.14951683908522656,0.0664195942589369,0.25681117455585634,0.003030157595564202
0.22250412506067094,0.09043979816622998,0.4166563162263575,0.002906956842240805
0.11153001436772608,0.09393366109969682,0.3088007401040442,0.005993618503882389
0.21423606003157186,0.08921363958186998,0.2837609059278262,0.0033732116668169997
0.2191053282900171,0.11222420938300148,0.2754375342257985,0.004725699190210249
0.14530906421168305,0.09736937481390033,0.2102036510127709,0.002639343110599749
0.16982273337958328,0.09522876089804236,0.13241300092177888,0.00414618677249188
0.23550747318556373,0.07725077406879746,0.4327400834488453,0.0032875977951847828
0.2272169913387709,0.0632799987713111,0.41128835626314153,0.003937712193942608
0.11605443594924125,0.08775315128997108,0.20088525370870053,0.0030799524203505902
0.11963174917211367,0.08778669484871998,0.21921734826134173,0.0030436911596472514
0.15261451157736114,0.11734273184983472,0.2588950741727416,0.004133649755576302
0.18809935111641432,0.08302284153912051,0.27534494741422594,0.002588770417714108
0.14812700073937593,0.0810437303133072,0.31401518867995093,0.002778325809914626
0.1407821145565704,0.0963985182988551,0.139960472707983,0.0030504672313526864
0.16011351837653892,0.10939601625427874,0.2986629469683246,0.0033873554996409873
0.165853278784363,0.08070285660320634,0.21744741025079883,0.0026813383272497183
0.17264816918222314,0.07696096386897412,0.36399193900728705,0.0026722463090121844
0.19472859168904916,0.08824201755680393,0.3976831604224177,0.002664798594050613
0.2172399246119308,0.0779279727026024,0.5015033000669963,0.0036903753548547824
0.13854649397917787,0.062177722172678966,0.38210429637905624,0.0055098549004666654
0.2039168346489657,0.07817868114122668,0.46558766940717916,0.00328146600610482
0.15147134663264528,0.0971982034545275,0.21614326523404492,0.0025894106772038194
0.1494481166637444,0.08401787641121966,0.22265817089337916,0.0024747470683966124
0.18712557827643073,0.08710580921416962,0.3560224769934016,0.002443876314192679
0.1830564068336614,0.0780638433312041,0.35892078092275587,0.002512879008644409
0.1854350477985403,0.08389122491295131,0.2748445841761856,0.002525070197572913
0.11990277031685104,0.10871914343511085,0.17181365410171395,0.0037959326139016506
0.1650195412322584,0.09920224523003252,0.33249574272028587,0.002894411585407481
0.14244302923021362,0.06197269167591239,0.2717041759514611,0.0034917098086121486
0.17613096800009337,0.07850982330956348,0.25784621615340736,0.0025916181115107698
0.19075742889548097,0.08127138334061362,0.460119201492898,0.0035249550714241923
0.14655472220356117,0.10387487344926179,0.32763141694772396,0.003923442167151108
0.24747731891030228,0.08256888819127783,0.3787423786716438,0.00416881585407269
0.1827891492576987,0.09534556229495247,0.3096859955008946,0.002461353615336171
0.2694654388101027,0.08022493996133749,0.4886782147025756,0.004795221704172817
0.1767004664428738,0.08039126987080232,0.2727974112559468,0.002466971816140893
0.18229203551804005,0.07255122293176725,0.31585143066380644,0.0026207451290221778
0.1237609156444217,0.0948348428095143,0.3191780127462467,0.004826712744719946
0.16023035008146894,0.07419818818640442,0.2024532435652,0.0029921663816543874
0.15911146952056188,0.08122765864799655,0.28197107973734825,0.0024095033101754555
0.201105632960072,0.07600740918485482,0.4436453766080032,0.0030500971966530383
0.12225056281150003,0.0989117676919958,0.12782309901184782,0.003239859049179809
0.1874425731040274,0.09365996840606751,0.24441952318918797,0.0027913390487305954
0.0992888602969093,0.07491076446508162,0.20913766817820356,0.004238675120716688
0.19343059772144025,0.07454005957259602,0.3823830022856498,0.002661005273617281
0.33277712729791276,0.0835528634386545,0.5977650546224114,0.0151049316185279
0.14789397681438163,0.0738867172698906,0.1353829501775786,0.003818797156977605
0.1636430868048918,0.09036012949502319,0.29606702908021376,0.002411069937368861
0.15325016853699386,0.08384599568716836,0.24293840184302673,0.00241938810038849
0.28238331980772224,0.09556261614834025,0.4579279500103943,0.00648648549466745
0.18184905422000416,0.08159791528697237,0.28035194267485586,0.0024733815789296284
0.18784151372753544,0.10666294257023558,0.3315892578748887,0.0030176121038847092
0.23217691520933736,0.08511678534108315,0.46363944234051846,0.0032255946809511427
0.14517210778573977,0.08851338791820938,0.1162389310804045,0.0034821979317434986
0.14896917140397709,0.10815983508651358,0.1516694161829285,0.003475855120698028
0.2479008271687041,0.08406105660774156,0.36008721154119455,0.004511301726563766
0.14959150343607666,0.08027152974028925,0.2803118988136458,0.002534667721860468
0.240297628291102,0.054067465198855275,0.4306605254035404,0.006051389206314665
0.20661671693014694,0.11047265476932086,0.3885272732350735,0.003731359769410035
0.20521874507575352,0.07404963928746171,0.4875421216659698,0.003702885659730292
0.13950073059298143,0.0688132321009243,0.3121981533403899,0.0033946028416730776
0.13160596550635598,0.06733361383533748,0.31418281958601224,0.003927205631901859
