beta,gamma,rho
0.32806792999059303,0.08388381281394547,0.4327055179453543
0.2163779467785912,0.0701723071871821,0.48124339119224346
0.2163779467785912,0.0701723071871821,0.48124339119224346
0.15902696515628145,0.09404054516398982,0.2135177426237151
0.15902696515628145,0.09404054516398982,0.2135177426237151
0.3693064217365579,0.0731257680537917,0.407429881698408
0.3706817892659842,0.07571404710658246,0.47310510770957526
0.2758992819591273,0.05877911620443035,0.37132899737723163
0.2758992819591273,0.05877911620443035,0.37132899737723163
0.4837967874447002,0.08420612090105493,0.44894148449414295
0.4837967874447002,0.08420612090105493,0.44894148449414295
0.2525052705226505,0.07233955383774462,0.2119975209033253
0.35635664122627825,0.07989108619531252,0.2991959033768854
0.275975536550636,0.07040911939112672,0.4531909117803763
0.39367438142942746,0.08452682736489968,0.4128595103741237
0.2921767333981029,0.10328649365360618,0.3640604726322
0.2921767333981029,0.10328649365360618,0.3640604726322
0.28981794406719297,0.07076414973373443,0.42894427104396154
0.2834646098955786,0.07279570784830094,0.3536365343530368
0.38640153071951094,0.08567126232281293,0.47165243910960103
0.31220198126771537,0.06437602252063937,0.30601485237879295
0.418197884162232,0.07785415850351837,0.49835868155353574
0.33108429176551213,0.0733278994992401,0.34436455117658726
0.3740646544528572,0.061374305855530366,0.5922766065594783
0.3740646544528572,0.061374305855530366,0.5922766065594783
0.23187856671222828,0.07245363801123293,0.27930797762398163
0.3083616983229054,0.09595249253218975,0.38623842581096246
0.1773646183237154,0.09978910411531049,0.1799622643834095
0.1773646183237154,0.09978910411531049,0.1799622643834095
0.4605075795228041,0.06180860284038138,0.5630690077941602
0.30441408063303016,0.07850043579791074,0.43112507473047823
0.2787549237631589,0.07852957499347699,0.3458852807758229
0.3435541669746598,0.06976420420029601,0.5254571890478128
0.3346896249025588,0.06376039417321495,0.31090607899350775
0.26905313349322674,0.08105203698030351,0.4519262885090607
0.3742446016199542,0.06527457159503364,0.4761041834574279
0.3204421694986318,0.07041683666528982,0.41256395262772233
0.31585586046943626,0.07671799207317154,0.36126638787322335
0.35133780952908655,0.07410534352508812,0.32154887877324323
0.25226047965170945,0.06367002424796825,0.3256985280217401
0.3455625897705442,0.0700918185830926,0.3811349672143841
0.3786754393163691,0.07216231699034352,0.40260783770798525
0.368346119804844,0.07875606060810124,0.5297779572970704
0.3701632053325777,0.0678059158372112,0.33059013834447437
0.43859569687201166,0.07565638715391051,0.5249619974830585
0.19761020320580927,0.07940250947032133,0.19630623198598365
0.31935552726800737,0.08791290773910729,0.4641205667033622
0.332870874632119,0.0899424731085327,0.271346629486927
0.29891868007860545,0.0703148462258676,0.422265480899634
0.25907941229271014,0.07799512301501867,0.22732695576595707
0.30351322848001105,0.07040583079538668,0.4827172863266358
0.2781834340434737,0.07665671084524638,0.34982794546727775
0.33175922983700196,0.0815256159833556,0.4150533220537432
0.27217864535174824,0.08750952723918703,0.251807439555177
0.2978016604063757,0.07947747875921639,0.2252730312649335
0.39892539271208227,0.07320753436474405,0.5105164385450717
0.3720065331364496,0.09331328890168908,0.29399124002360094
0.37123709918582776,0.07782444422042621,0.5849399356801306
0.39368597424443547,0.08323624772089762,0.5765267790214648
0.39368597424443547,0.08323624772089762,0.5765267790214648
0.2526617447287905,0.07232468116647264,0.29068549753736145
0.26080197202904054,0.06221283559347514,0.47778796345515606
0.26080197202904054,0.06221283559347514,0.47778796345515606
0.4123409316896801,0.09672637572012603,0.39330086039204154
0.4123409316896801,0.09672637572012603,0.39330086039204154
0.40664832479371893,0.056508605074719644,0.4969732759269111
0.34962198204985084,0.0708451184592287,0.418814283279702
0.4064109663828613,0.08800140979585165,0.36724440186665475
0.35541459288445915,0.07312982459879472,0.3601393550088883
0.4086458285999535,0.0812859719297496,0.3609813149659547
0.27419103575230674,0.06062590010472246,0.305831113715168
0.32137528790054304,0.07525972906005575,0.35931070821284505
0.321907739207004,0.07241028129687424,0.3597153355943132
0.38041237677150247,0.07760803688511632,0.38591917829960176
0.32100288669114085,0.06463735475032152,0.4763383970644107
0.2864014046420411,0.09399427217079784,0.37698200992590214
0.2770929953055474,0.08508523303103784,0.40980225527671654
0.37867905394407797,0.07937320603354307,0.29823736537326556
0.3900648146985113,0.08436500388741436,0.46157829132259054
0.22410650736308912,0.07278062261653881,0.12253984569009231
0.22410650736308912,0.07278062261653881,0.12253984569009231
0.30648074516323515,0.08211028204427798,0.20567585949743633
0.38408932680655583,0.0712075367452967,0.30877729754968847
0.2676399359985348,0.08069122980732639,0.18875006399289684
0.28909898525535105,0.09649120788109057,0.2626804722131337
0.23651939281123194,0.07855081038626321,0.3238039355445404
0.30547357734738334,0.07658665590338999,0.2560004403941165
0.2124348574999766,0.07031474265937468,0.32767454156928394
0.3997516547997988,0.08097409478502939,0.40899647533512135
0.3701797457246405,0.07951214374934093,0.3571768282704906
0.2800458289691512,0.07793012179481719,0.2991933259877516
0.41986105517437083,0.07941997147599135,0.514003688398982
0.428135577434698,0.0751128669658808,0.5114057834509141
0.2342935996981743,0.07254716561854968,0.35948746159177936
0.36694045739390163,0.07764618164986327,0.3047192039303577
0.23496435510522726,0.07820653193061519,0.3067126805411206
0.3297777659292436,0.06458361039249685,0.40848244000310185
0.40037245010817946,0.0717757949554393,0.35963964755707506
0.40037245010817946,0.0717757949554393,0.35963964755707506
0.3803760018178706,0.0835960381512498,0.48790907295876473
0.2358139147519525,0.07164049448546105,0.33065891128735647
0.3593993829731821,0.06256375203707903,0.3706631422638682
0.27006806669294314,0.06838872875063429,0.4370568530882762
0.2712378614375579,0.0667015196669063,0.3981145040859815
0.21061706945438075,0.08502220683831248,0.14853319027592513
0.29966197332712796,0.08334609077649928,0.3330297376366126
0.2723554211419101,0.09392889598745978,0.3881601356704854
0.39369339125160985,0.06807694833740165,0.34275710477491583
0.33367473545129794,0.06809008032217727,0.3706545605567099
0.2653541361444044,0.07700599552483835,0.3247982855500305
0.30593527206694526,0.06625972015561293,0.26028375738757326
0.17990754028980116,0.07409796865592572,0.15990584899287658
0.22263353595082763,0.06786711103285095,0.4497387165989758
0.22263353595082763,0.06786711103285095,0.4497387165989758
0.3734194765874047,0.07814736746397385,0.3728992169722827
0.32315936618981594,0.06905578305445115,0.31877547146769597
0.27009288812384474,0.08331658173883436,0.3346374106898268
0.24672704752861915,0.06402949569065709,0.2548071744358677
