beta,gamma,rho,sim_peak,sim_rewire,sim_mean_deg,distance
0.15465647323799317,0.08615212582072306,0.2931139598609979,0.61,534.0,10.1,0.3288595828181012
0.2023054174837967,0.17200619719169358,0.38605800686983516,0.575,559.0,10.05,0.3379558602178181
0.3840430772380895,0.1263340629494779,0.5227513672075962,0.64,523.0,9.99,0.12832023247302965
0.43336992100765936,0.1251610148110193,0.5881035420157067,0.73,604.0,10.01,0.3298961630707269
0.1832147883095116,0.0868254746758899,0.32388397154122706,0.69,524.0,9.96,0.23504099614581409
0.2984832178516985,0.1101379068344501,0.5489303324921203,0.685,617.0,9.97,0.280146407912825
0.2848633118461641,0.07665493134158859,0.45127610963777837,0.72,512.0,9.98,0.28862000002562943
0.4576063338114171,0.11003773687640339,0.6048745181702824,0.685,559.0,10.06,0.18149340289375687
0.16856394268519298,0.08393921014181598,0.279088521637118,0.635,439.0,10.04,0.32596748838988665
0.20982419914724232,0.10144104227025645,0.3329293440538327,0.655,507.0,10.11,0.3238714339479487
0.13131778809506428,0.08338168530659608,0.2299784148387384,0.62,463.0,10.05,0.29685230313668703
0.1556165700733531,0.11868919721447398,0.3409953625440454,0.59,569.0,9.99,0.2832548855923644
0.33407866278773835,0.13162639834379855,0.5113701279492012,0.595,545.0,9.99,0.2565897103785893
0.386029271677121,0.11298341087174223,0.48315573198290135,0.655,460.0,9.98,0.27402865632090545
0.3442574437794785,0.1478001694200582,0.5729047527942704,0.595,624.0,10.03,0.33329499288604325
0.17818911069975052,0.08393677824728141,0.25766448503682887,0.62,435.0,10.01,0.3488899755367856
0.30911972228165757,0.08478788158366496,0.4886596403727758,0.71,543.0,9.94,0.32601071849929725
0.2891426774774316,0.12549968910458595,0.4081330346382137,0.7,486.0,10.06,0.27610623822884134
0.2501760916768378,0.12607178665963306,0.4264324838290846,0.58,559.0,9.97,0.338810495749931
0.11598041428895874,0.09775389025659412,0.22720465306865842,0.605,457.0,10.04,0.33265613666981353
0.49396553416494093,0.13730577660400026,0.5599378886381798,0.66,486.0,10.11,0.3491058135235507
0.29719313702412764,0.10038740422115142,0.40974913623995546,0.71,449.0,10.03,0.3467350867541047
0.4423954386757485,0.13854280922229875,0.6024873572275382,0.645,588.0,9.94,0.2859475725107337
0.24718023083849605,0.14425962704411502,0.4602141413312249,0.585,596.0,9.99,0.32767838075075106
0.2271049345908836,0.08822535799905847,0.33471447832732626,0.68,473.0,10.08,0.30565371706885675
0.3982529862895348,0.15023627910137874,0.5714395297544911,0.605,571.0,10.08,0.29784022523171205
0.4266276630436222,0.1584261609868309,0.5409204205332129,0.64,486.0,10.08,0.2753880062024274
0.1962919233865154,0.0665935291862998,0.34913303495202996,0.725,544.0,10.01,0.2638344399458916
0.4460251995536259,0.16740971273558153,0.57115543873119,0.6,510.0,10.0,0.24967936536046495
0.25738559433189606,0.08971518895771619,0.41710416515298365,0.68,555.0,10.0,0.10887197171978667
0.4636547133362467,0.1379936135200561,0.526717327452056,0.685,543.0,10.03,0.11590525420609953
0.3849531165556943,0.12070833587646036,0.4741026595936093,0.685,485.0,9.97,0.2562981603210883
0.38631518161983563,0.09385021791455316,0.5977822776262782,0.68,656.0,10.03,0.33373751401984214
0.42629823913425646,0.1870817232984195,0.5092348027084305,0.59,495.0,9.98,0.32141958947335925
0.3553905209884481,0.12409552134536123,0.39298364098935246,0.63,442.0,10.04,0.3236406574619916
0.23932952761859638,0.1186864006064544,0.46284830048705383,0.625,601.0,10.06,0.24700259569162603
0.35057844114025116,0.13965656042417932,0.52976210743862,0.625,560.0,9.99,0.15905341327138706
0.3107059674730743,0.1325969029252913,0.4563242533160889,0.66,482.0,10.07,0.2513267928060992
0.18128208191569106,0.08240523711973759,0.29560700908788046,0.69,488.0,10.06,0.25091355593245507
0.09685227889018769,0.04913571620059006,0.24993466949800675,0.71,570.0,10.01,0.21811349459377039
